formula_id,product,brand,volume_ml,retail_usd,disclosure_status,most_likely_loading,modeled_input_cost_low_usd,modeled_input_cost_base_usd,modeled_input_cost_high_usd,retail_to_base_multiple,confidence,ingredient_line_assumptions,source_record_ids,notes
medik8_advanced,Liquid Peptides Advanced MP,Medik8,30,95.00,30% commercial complex only,"30% multi-peptide complex = 9 g; 13 peptides and growth-factor technologies not individually dosed",9.00,45.00,180.00,2.11,low,"9 g commercial complex at inferred 1/5/20 $/g from the observed blend-price band; component breakdown is not published",TRULUX-M3000|TRULUX-S6|NO-PRICE-BIOGF,"A complete component model would require MiniProtein, Expression Line MiniProtein, and copper-complex prices."
paulas_choice,Pro-Collagen Multi-Peptide Booster,Paula's Choice,20,59.00,identities disclosed amounts not,"Six peptides; total active material modeled at 0.05/0.25/1.00%",0.05,2.00,45.00,29.50,low,"Six pro-collagen peptides: 0.010/0.050/0.300 g total; blended unit proxy 5/40/150 $/g because identities and assays are not individually disclosed",FL-PT1|FL-PT5|FL-PT38|FL-PP4,"The line is a scenario for procurement planning, not a measured amount."
naturium,Naturium Multi-Peptide Advanced Serum,Naturium,30,25.00,named peptides no amounts,"AHP-8 plus two specialty peptide technologies; total active material modeled at 0.01/0.05/0.25%",0.02,0.20,3.00,125.00,low,"AHP-8 0.002/0.01/0.05%; Copper Palmitoyl Heptapeptide-14 and Palmitoyl sh-Hexapeptide-13 together 0.008/0.04/0.20%; X50/AHP-8 proxy used for specialty technologies",FL-AHP8|X50|NO-PRICE-BIOGF,"The specialty INCI names do not have matched public price records."
minimalist,Multi-Peptides 10%,Minimalist,30,12.99,commercial percentages with one opaque blend,"7% Matrixyl 3000 + 3% Bio-Placenta/growth-factor-style complex",3.30,10.25,23.70,1.27,low,"Matrixyl 3000 2.1 g; Bio-Placenta 0.9 g at inferred 1/6/20 $/g; no public Bio-Placenta unit basis",TRULUX-M3000|NO-PRICE-BIOGF,"The Matrixyl line is source-priced; Bio-Placenta is a separate inference, not a substitute for a pure GF."
inkey,Collagen Peptide Serum,The INKEY List,30,17.00,commercial technology percentages,"1% Matrixyl 3000 + 1% SYN-TACKS",0.66,1.29,3.81,13.18,medium,"M3000 0.3 g at 1.14/2.31/2.70 $/g; SYN-TACKS 0.3 g at 1.06/2.00/10.00 $/g",TRULUX-M3000|HERBARIE-SYNTACKS,"Both lines are commercial materials and remain separate from pure-peptide prices."
timeless_m3000,Matrixyl 3000 Serum,Timeless,30,27.95,commercial percentage disclosed,"8% Matrixyl 3000 = 2.4 g",2.74,5.54,6.48,5.04,high,"Matrixyl 3000 2.4 g at 1.14/2.31/2.70 $/g",TRULUX-M3000|NEW-DIR-M3000,"This is one of the strongest product-level price rows because both blend percentage and public blend pack ladder exist."
timeless_s6,Matrixyl Synthe'6 Serum,Timeless,30,28.95,commercial percentage disclosed,"2% Matrixyl Synthe'6 = 0.6 g",0.76,1.52,1.77,19.05,high,"Matrixyl Synthe'6 0.6 g at 1.27/2.53/2.95 $/g",TRULUX-S6,"This is a blend estimate, not a pure PT-38 estimate."
cosrx_blue,COSRX Blue Peptide Bakuchiol Plump Glow Serum,COSRX,50,27.00,undisclosed named blend,"Copper Tripeptide-1 plus five peptides; total material modeled at 0.02/0.10/0.30%",0.05,1.50,12.00,18.00,low,"Copper Tripeptide-1 plus five named peptides; total 0.010/0.050/0.150 g; average material proxy 1/10/80 $/g",FL-GHK|FL-AHP8|FL-PT8|NO-PRICE-BIOGF,"The very large bottle makes retail $/mL look low; it does not reveal peptide loading."
cosrx_six,The 6 Peptide Skin Booster Serum,COSRX,150,25.00,undisclosed named blend,"Six named peptides; total material modeled at 0.02/0.10/0.30%",0.03,2.50,25.00,10.00,low,"AHP-8, Copper Tripeptide-1, sh-Polypeptide-121, SYN-AKE, Oligopeptide-68, PT-8; total 0.025/0.150/0.450 g; average proxy 1/16.7/55.6 $/g",FL-AHP8|FL-GHK|FL-SYNAKE|FL-OP68|FL-PT8|NO-PRICE-BIOGF,"The base case is a guessed total material load; no individual concentration is published."
dermae,Advanced Peptides & Flora-Collagen Serum,DERMA E,30,31.95,undisclosed named blend,"AHP-8 and PT-38 present; total active material modeled at 0.01/0.05/0.20%",0.02,0.30,3.00,106.50,low,"AHP-8 and PT-38 together 0.003/0.030/0.120 g; mixed material price proxy 5/10/25 $/g",FL-AHP8|FL-PT38,"No finished-formula peptide assay located."
drunk_elephant,Protini Polypeptide Cream,Drunk Elephant,50,72.00,nine peptides no amounts,"Nine signal/growth-factor INCI names; total material modeled at 0.04/0.16/0.40%",0.05,2.00,20.00,36.00,low,"Nine named peptides: total 0.020/0.080/0.200 g; mixed material proxy 2.5/25/100 $/g, with EGF/FGF small-lot prices used only to widen the ceiling",FL-EGF|FL-GHK|FL-PT7|NO-PRICE-BIOGF,"The formula may use proprietary protein solutions; this is not a pure-peptide mass estimate."
peach_lily,Copper Peptide Pro Firming Serum,Peach & Lily,30,49.00,official 0.2% headline,"0.2% copper peptide = 0.06 g",0.05,0.06,0.08,816.67,high,"Copper Tripeptide-1/complex 0.06 g at 0.80/0.95/1.25 $/g as a conditional pure-copper proxy",FL-GHK,"If the brand's 0.2% is a complex rather than pure GHK-Cu, the line should be marked proxy rather than exact."
niod_cais3,CAIS3 Copper Amino Isolate Serum 3 1:1,NIOD,15,74.00,two headline concentrations disclosed,"1% GHK-Cu + 1% GHK = 0.15 g each",1.93,2.30,3.05,32.17,high,"GHK-Cu 0.15 g at 0.80/0.95/1.25 $/g; Tripeptide-1/GHK 0.15 g at 12.05/14.32/19.09 $/g",FL-GHK|FL-TP1,"Additional Tripeptide-29, Myristoyl Nonapeptide-3, Trifluoroacetyl Tripeptide-2, and Acetyl Tetrapeptide-2 remain unpriced."
allies_copper,Copper Tripeptide & Ectoin Advanced Repair Serum,Allies of Skin,30,199.00,three complex percentages disclosed,"1% Copper Tripeptide Complex + 2% AHP-8 Complex + 2% Copper Lysinate Complex",6.10,8.40,14.80,23.69,low,"0.3 g copper complex at 0.80/0.95/1.25 $/g; 0.6 g AHP-8 complex at 8.84/10.50/14.00 $/g proxy; 0.6 g copper lysinate at 1/3/10 $/g proxy",FL-GHK|FL-AHP8|NO-PRICE-BIOGF,"Complex prices and pure fractions are not public; Ectoin is excluded from peptide input cost."
qa_multi,Q+A Multi-Peptide Facial Serum,Q+A,30,13.00,identities disclosed amounts not,"Four named peptides; total material modeled at 0.03/0.10/0.30%",0.02,0.50,5.00,26.00,low,"PT-1/PT-7/AHP-1/sh-Polypeptide-69: total 0.010/0.030/0.100 g; blended proxy 2/16.7/50 $/g",FL-PT1|FL-PT7|NO-PRICE-BIOGF,"Acetyl Hexapeptide-1 and sh-Polypeptide-69 do not have matched public price records."
