formula_id,product,brand,volume_ml,retail_usd,ingredient_name,material_class,inci_position,technology,concentration_low_pct,concentration_base_pct,concentration_high_pct,amount_low_g,amount_base_g,amount_high_g,amount_basis,estimate_class,included_in_peptide_mass,product_source_url,basis_source_url
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,Copper Palmitoyl Heptapeptide-14,copper,20,X50 Antiaging,1e-07,1e-06,1e-05,3e-08,3e-07,3e-06,official 0.001% X50; component fraction undisclosed,modeled_with_published_complex,yes,https://geekandgorgeous.com/products/power-peptides,https://geekandgorgeous.com/products/power-peptides
gng_power,Power Peptides,Geek & Gorgeous,30,18.80,Heptapeptide-15 Palmitate,lipopeptide,21,X50 Antiaging,1e-07,1e-06,1e-05,3e-08,3e-07,3e-06,official 0.001% X50; component fraction undisclosed,modeled_with_published_complex,yes,https://geekandgorgeous.com/products/power-peptides,https://geekandgorgeous.com/products/power-peptides
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Copper Tripeptide-1,copper,8,,3,3,3,0.9,0.9,0.9,official 3% claim,published_or_supplier_derived,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Acetyl Hexapeptide-1,expression,15,,0.0002,0.001,0.01,6e-05,0.0003,0.003,INCI position 15 + expression prior (middle zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Ascorbic Acid Polypeptide,polypeptide,16,,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,INCI position 16 + polypeptide prior (middle zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Palmitoyl Tripeptide-1,lipopeptide,17,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 17 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Palmitoyl Tetrapeptide-7,lipopeptide,18,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 18 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Palmitoyl Hexapeptide-12,lipopeptide,19,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 19 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Palmitoyl Tripeptide-5,lipopeptide,20,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 20 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Palmitoyl Pentapeptide-4,lipopeptide,21,,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,INCI position 21 + lipopeptide prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Tripeptide-2,other,22,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 22 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Acetyl Dipeptide-1 Cetyl Ester,lipopeptide,23,,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,INCI position 23 + lipopeptide prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Acetyl Hexapeptide-8,expression,24,,2e-05,0.0002,0.002,6e-06,6e-05,0.0006,INCI position 24 + expression prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Hexapeptide-9,other,25,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 25 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Heptasodium Hexacarboxymethyl Dipeptide-12,other,26,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 26 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Pentapeptide-3,other,27,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 27 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Dipeptide Diaminobutyroyl Benzylamide Diacetate,expression,28,,2e-05,0.0002,0.002,6e-06,6e-05,0.0006,INCI position 28 + expression prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Nonapeptide-1,other,29,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 29 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Tripeptide-1,other,30,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 30 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_copper,Copper Peptide 3%,Theramid,30,49.00,Acetyl Tetrapeptide-2,other,31,,5e-06,5e-05,0.0005,1.5e-06,1.5e-05,0.00015,INCI position 31 + other prior (late zone),modeled_inci_class_prior,yes,https://nichebeautylab.com/collections/bestseller-north-america/products/copper-peptide,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Acetyl Hexapeptide-1,expression,12,Munapsys,0.001,0.01,0.05,0.0003,0.003,0.015,published 5% Munapsys technology; peptide assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,N-Prolyl Palmitoyl Tripeptide-56 Acetate,lipopeptide,13,Matrixyl Morphomics,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,published 3% Matrixyl Morphomics; peptide assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Acetyl Tetrapeptide-2,other,14,Neoclair Pro,2e-05,0.0002,0.002,6e-06,6e-05,0.0006,published 2% Neoclair Pro; peptide assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Palmitoyl Tripeptide-38,lipopeptide,15,Matrixyl Synthe'6,0.00075,0.00075,0.00075,0.000225,0.000225,0.000225,published 3% Matrixyl Synthe'6 × supplier assay,published_technology_supplier_assay,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://patentimages.storage.googleapis.com/9c/04/e9/84ccee710561e0/EP2732806A1.pdf
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Palmitoyl Tripeptide-1,lipopeptide,16,Matrixyl 3000,0.0005,0.0005,0.0005,0.00015,0.00015,0.00015,published 5% Matrixyl 3000 × supplier assay,published_technology_supplier_assay,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://patents.google.com/patent/US6974799B2/lv
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,sh-Oligopeptide-1,growth_factor,17,BIO GF Complex,1e-06,1e-05,0.0001,3e-07,3e-06,3e-05,published 8% BIO GF Complex; individual protein assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,sh-Oligopeptide-2,growth_factor,18,BIO GF Complex,1e-06,1e-05,0.0001,3e-07,3e-06,3e-05,published 8% BIO GF Complex; individual protein assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,sh-Polypeptide-1,growth_factor,19,BIO GF Complex,1e-06,1e-05,0.0001,3e-07,3e-06,3e-05,published 8% BIO GF Complex; individual protein assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,sh-Polypeptide-9,growth_factor,20,BIO GF Complex,1e-06,1e-05,0.0001,3e-07,3e-06,3e-05,published 8% BIO GF Complex; individual protein assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,sh-Polypeptide-11,growth_factor,21,BIO GF Complex,1e-06,1e-05,0.0001,3e-07,3e-06,3e-05,published 8% BIO GF Complex; individual protein assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Palmitoyl Dipeptide-10,lipopeptide,22,Skinarch,1e-05,0.0001,0.001,3e-06,3e-05,0.0003,published 2% Skinarch; peptide assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Palmitoyl Tetrapeptide-7,lipopeptide,23,Matrixyl 3000,0.00025,0.00025,0.00025,7.5e-05,7.5e-05,7.5e-05,published 5% Matrixyl 3000 × supplier assay,published_technology_supplier_assay,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://patents.google.com/patent/US6974799B2/lv
theramid_derma,Derma-Peptides 35%,Theramid,30,36.00,Nonapeptide-1,other,24,Melanostatine,4e-05,0.0004,0.004,1.2e-05,0.00012,0.0012,published 4% Melanostatine technology; active assay undisclosed,modeled_with_published_complex,yes,https://nichebeautylab.com/collections/serums/products/derma-peptides,https://nichebeautylab.com/collections/serums/products/derma-peptides
medik8_advanced,Liquid Peptides Advanced MP,Medik8,30,95.00,Palmitoyl Tripeptide-38,lipopeptide,15,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 15 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://us.medik8.com/products/liquid-peptides-advanced-mp,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
medik8_advanced,Liquid Peptides Advanced MP,Medik8,30,95.00,Palmitoyl Tripeptide-5,lipopeptide,16,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 16 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://us.medik8.com/products/liquid-peptides-advanced-mp,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
medik8_advanced,Liquid Peptides Advanced MP,Medik8,30,95.00,Palmitoyl Tripeptide-1,lipopeptide,17,,3e-05,0.0003,0.003,9e-06,9e-05,0.0009,INCI position 17 + lipopeptide prior (middle zone),modeled_inci_class_prior,yes,https://us.medik8.com/products/liquid-peptides-advanced-mp,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
medik8_advanced,Liquid Peptides Advanced MP,Medik8,30,95.00,Tetrapeptide-21,other,18,,5e-05,0.0005,0.005,1.5e-05,0.00015,0.0015,INCI position 18 + other prior (middle zone),modeled_inci_class_prior,yes,https://us.medik8.com/products/liquid-peptides-advanced-mp,https://www.fda.gov/cosmetics/cosmetics-labeling-regulations/summary-cosmetics-labeling-requirements
