id,product,brand,format,volume_ml,retail_usd,price_basis,transparency_score,confidence,active_mass_low_g,active_mass_base_g,active_mass_high_g,peptide_cost_low_usd,peptide_cost_base_usd,peptide_cost_high_usd,composition_status,peptide_breakdown,source_key,notes
medik8_advanced,Liquid Peptides Advanced MP,Medik8,serum,30,95.00,US official price,4,medium,9.000,9.000,9.000,9.00,36.00,90.00,commercial-complex,13 age-defying peptides including Matrixyl 3000 components; copper peptides; GF MiniProtein; Expression Line MiniProtein; 30% multi-peptide complex = 9 g commercial complex,MEDIK8,"The official page discloses the 30% complex and 13-peptide count, not each peptide concentration or raw-material identity."
paulas_choice,Pro-Collagen Multi-Peptide Booster,Paula's Choice,serum,20,59.00,US retail benchmark,2,low,0.010,0.050,0.300,0.15,2.50,15.00,undisclosed-blend,Six pro-collagen peptides: identities and individual concentrations not disclosed; modeled 0.01/0.05/0.30 g total peptide-equivalent,PAULAS,The product's six-peptide count is official; the mass and identities are not publicly itemized enough for a precise raw-cost calculation.
naturium,Naturium Multi-Peptide Advanced Serum,Naturium,serum,30,25.00,US official price,2,low,0.003,0.030,0.150,0.03,0.75,4.50,undisclosed-blend,Acetyl Hexapeptide-8; Copper Palmitoyl Heptapeptide-14; Palmitoyl sh-Hexapeptide-13 Serine SP Amide: amounts not disclosed; modeled 0.003/0.030/0.150 g total peptide-equivalent,NATURIUM,Encapsulation and delivery may add cost but no public material price or assay was found.
minimalist,Multi-Peptides 10%,Minimalist,serum,30,12.99,US authorized-retailer price,4,medium,3.000,3.000,3.000,2.80,5.20,9.40,commercial-blend,Matrixyl 3000: 7% = 2.1 g; Bio-Placenta/growth-factor-style complex: 3% = 0.9 g; 10% total commercial blends,MINIMALIST,The two percentages are brand/retailer claims; the Bio-Placenta complex's peptide assay is not public.
inkey,Collagen Peptide Serum,The INKEY List,serum,30,17.00,US official price,4,medium,0.600,0.600,0.600,0.64,1.30,2.50,commercial-blend,Matrixyl 3000: 1% = 0.3 g; SYN-TACKS: 1% = 0.3 g; total 2% commercial peptide technologies,INKEY,"The complex percentages are disclosed, but individual pure-peptide assays are not."
timeless_m3000,Matrixyl 3000 Serum,Timeless,serum,30,27.95,US official price,4,medium,2.400,2.400,2.400,2.74,4.20,5.54,commercial-blend,Matrixyl 3000: 8% = 2.4 g; Palmitoyl Tripeptide-1 + Palmitoyl Tetrapeptide-7 within the premix; HA is not counted,TIMELESS-M3000;TRULUX-M3000,"8% refers to the commercial Matrixyl 3000 blend, not 8% pure peptide."
timeless_s6,Matrixyl Synthe'6 Serum,Timeless,serum,30,28.95,US official price,4,medium,0.600,0.600,0.600,0.76,1.00,1.52,commercial-blend,Matrixyl Synthe'6: 2% = 0.6 g; Palmitoyl Tripeptide-38 within the premix,TIMELESS-S6;TRULUX-S6,"2% refers to the commercial Synthe'6 solution, not 2% pure Palmitoyl Tripeptide-38."
cosrx_blue,COSRX Blue Peptide Bakuchiol Plump Glow Serum,COSRX,serum,50,27.00,US official price,2,low,0.010,0.050,0.100,0.02,0.40,2.00,undisclosed-blend,Copper Tripeptide-1 plus five additional named peptides; amounts not disclosed; modeled 0.01/0.05/0.10 g total peptide-equivalent,COSRX-BLUE,"Peptide contribution cannot be separated from bakuchiol, niacinamide, panthenol, HA, and the rest of the formula."
cosrx_six,The 6 Peptide Skin Booster Serum,COSRX,serum,150,25.00,US official price,2,low,0.025,0.100,0.250,0.05,0.70,3.75,undisclosed-blend,Acetyl Hexapeptide-8; Copper Tripeptide-1; sh-Polypeptide-121; SYN-AKE; Oligopeptide-68; Palmitoyl Tripeptide-8: amounts not disclosed; modeled total peptide-equivalent 0.025/0.100/0.250 g,COSRX-SIX,"The unusually large 150 mL format makes the retail $/mL attractive, but not necessarily the peptide $/mL because dosage is unknown."
dermae,Advanced Peptides & Flora-Collagen Serum,DERMA E,serum,30,31.95,US official price,2,low,0.005,0.030,0.100,0.02,0.30,1.50,undisclosed-blend,Acetyl Hexapeptide-8; Palmitoyl Tripeptide-38; additional botanical/collagen support; amounts not disclosed; modeled total peptide-equivalent 0.005/0.030/0.100 g,DERMAE,The public finished-product results are not peptide-isolated and do not disclose active mass.
drunk_elephant,Protini Polypeptide Cream,Drunk Elephant,cream,50,72.00,US official price,2,low,0.020,0.080,0.200,0.04,0.60,3.00,undisclosed-blend,Nine signal peptides including sh-Oligopeptide-1; sh-Oligopeptide-2; sh-Polypeptide-1; sh-Polypeptide-9; sh-Polypeptide-11; Copper Palmitoyl Heptapeptide-14; Heptapeptide-15 Palmitate; Palmitoyl Tetrapeptide-7; Palmitoyl Tripeptide-1; amounts not disclosed,DRUNK-ELEPHANT,"The 50 mL cream is included because it is a top-rated peptide formulation, but its peptide cost is only a broad proxy."
peach_lily,Copper Peptide Pro Firming Serum,Peach & Lily,serum,30,49.00,US official price,5,high,0.060,0.060,0.060,0.24,0.48,1.71,concentration-disclosed,Copper peptide: official 0.2% = 0.06 g; other peptides/co-actives not used in the headline cost,PEACH-LILY;GHK-RAW,"The 0.2% label is clear, but whether the copper material is pure Copper Tripeptide-1 or a complex is not fully specified in the product copy."
niod_cais3,CAIS3 Copper Amino Isolate Serum 3 1:1,NIOD,serum,15,74.00,US official price for 15 mL,5,high,0.300,0.300,0.300,0.90,3.30,12.00,concentration-disclosed,GHK-Cu: 1% = 0.15 g; GHK peptide: 1% = 0.15 g; additional Tripeptide-29; Myristoyl Nonapeptide-3; Trifluoroacetyl Tripeptide-2; Acetyl Tetrapeptide-2 not quantified,NIOD;GHK-RAW,The official page clearly states 1% GHK-Cu plus 1% GHK; the remaining peptides are not quantified.
allies_copper,Copper Tripeptide & Ectoin Advanced Repair Serum,Allies of Skin,serum,30,199.00,US official price,5,medium,1.500,1.500,1.500,1.50,5.40,18.00,commercial-complex,1% Copper Tripeptide Complex = 0.3 g; 2% Acetyl Hexapeptide-8 Complex = 0.6 g; 2% Copper Lysinate Complex = 0.6 g; 2% Ectoin excluded from peptide subtotal,ALLIES,The brand discloses complex percentages but not the pure peptide fraction of each complex.
qa_multi,Q+A Multi-Peptide Facial Serum,Q+A,serum,30,13.00,US official price,2,low,0.010,0.030,0.100,0.03,0.30,1.50,undisclosed-blend,Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Acetyl Hexapeptide-1; sh-Polypeptide-69; amounts not disclosed; modeled total peptide-equivalent 0.010/0.030/0.100 g,QA,"INCI order shows presence, not concentration; the cost range is a generic low-dose multi-peptide proxy."
