record_id,ingredient_key,ingredient_name,material_form,source_name,source_url,access_date,pack_examples,unit_anchor_usd_per_g,price_status,formulation_use_rate,confidence,notes,best_anchor_usd_per_g,procurement_fit,model_role,eligibility_reason
FL-PH12,palmitoyl_hexapeptide_12,Palmitoyl Hexapeptide-12,0.1% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-hexapeptide-12,2026-08-14,"100 g $3,690.67; 1 kg $27,680; 18 kg $419,272.46",23.29|27.68|36.91,direct public pack ladder,1-5% of suspension,high,Pure INCI material; Biopeptide EL and other branded systems are not substituted.,23.29,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PP18,pentapeptide_18,Pentapeptide-18,0.5% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/pentapeptide-18,2026-08-14,"100 g $11,580; 1 kg $86,850; 18 kg $1,315,475.27",73.08|86.85|115.80,direct public pack ladder,2-10% of suspension,high,Leuphasyl-class pure INCI material; small-lot/ready-to-use suspension pricing is not a pure powder price.,73.08,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-TP21,tetrapeptide_21,Tetrapeptide-21,0.1% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/tetrapeptide-21,2026-08-14,"100 g $8,010.67; 1 kg $60,080; 18 kg $910,005.38",50.56|60.08|80.11,direct public pack ladder,1-5% of suspension,high,TEGO Pep 4-17-class pure INCI analogue; not the branded TEGO premix.,50.56,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-TP1,tripeptide_1,Tripeptide-1 / GHK,0.1% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/tripeptide-1,2026-08-14,"100 g $1,909.33; 1 kg $14,320; 18 kg $216,900.27",12.05|14.32|19.09,direct public pack ladder,1-10% of suspension,high,Uncomplexed GHK; not Copper Tripeptide-1.,12.05,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-CAP3,caprooyl_tetrapeptide_3,Caprooyl Tetrapeptide-3,0.3% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/caprooyl-tetrapeptide-3,2026-08-14,"100 g $1,210.67; 1 kg $9,080; 18 kg $137,538.11",7.64|9.08|12.11,direct public pack ladder,0.3-2.5% of suspension,high,ChroNOline-class pure INCI analogue; bulk powder listings are much cheaper and lower-confidence.,7.64,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-NP1,nonapeptide_1,Nonapeptide-1 / Melanostatine-5,0.01% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/nonapeptide-1,2026-08-14,"100 g $3,120; 1 kg $23,400; 18 kg $354,438.37",19.69|23.40|31.20,direct public pack ladder,1-5% of suspension,high,Pure INCI analogue; research-grade acetate salt catalogs are not used as the base case.,19.69,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-OP68,oligopeptide_68,Oligopeptide-68,0.01% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/oligopeptide-68,2026-08-14,"100 g $10,240; 1 kg $76,800; 18 kg $1,163,257.64",64.63|76.80|102.40,direct public pack ladder,2-10% of suspension,high,Beta-White-class pure INCI analogue; the page notes 0.001% standard and 0.01% concentrate options.,64.63,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-D12,nonapeptide_1,Decapeptide-12,0.5% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/decapeptide-12,2026-08-14,"100 g $11,580; 1 kg $86,850; 18 kg $1,315,475.27",73.08|86.85|115.80,direct public pack ladder,2-10% of suspension; 0.01-0.1% active typical,high,"Additional pigment-peptide benchmark, not the same identity as Nonapeptide-1.",73.08,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-EGF,sh_oligopeptide_1,sh-Oligopeptide-1 / EGF,0.08% recombinant protein suspension,Formulate Labs,https://www.formulatelabs.ai/materials/epidermal-growth-factor,2026-08-14,"1 g $420; 5 g $1,890; 10 g $3,490",349.00|378.00|420.00,direct public catalog ladder,0.01-0.1% suspension; 1-10 ppm active stated,high,This is a refrigerated stabilizing suspension; catalog price is a small-vial ceiling and should not be applied to commodity cosmetic premixes.,349,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-KGF,sh_polypeptide_3,sh-Polypeptide-3 / KGF,0.08% recombinant protein suspension,Formulate Labs,https://www.formulatelabs.ai/materials/keratinocyte-growth-factor,2026-08-14,1 g $380; higher sizes not visible,380.00|380.00|380.00,direct public catalog price,0.01-0.1% suspension,medium,"Adjacent growth-factor benchmark only; it is KGF, not the FGF2 material in the current formulation scan.",380,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-AT40,acetyl_tetrapeptide_40,Acetyl Tetrapeptide-40,0.3% aqueous suspension,Formulate Labs,https://www.formulatelabs.ai/materials/acetyl-tetrapeptide-40,2026-08-14,"100 g $8,242.12; 1 kg $61,800; 18 kg $936,292.28",52.02|61.80|82.42,direct public pack ladder,1-5% of suspension,high,Additional Telangyn-class benchmark useful for comparing price bands; not present in the 25-product scan.,52.02,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PD5H,syn_tacks,Palmitoyl Dipeptide-5 Diaminohydroxybutyrate,SYN-TACKS component suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-dipeptide-5-diaminohydroxybutyrate,2026-08-14,"100 g and 1 kg prices visible; 1 kg $89,000/kg",89.00|89.00|89.00,direct public pack ladder,2-10% of suspension,medium,One of two component-like INCI records; not the full SYN-TACKS premix price.,89,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
FL-PD5T,syn_tacks,Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine,SYN-TACKS component suspension,Formulate Labs,https://www.formulatelabs.ai/materials/palmitoyl-dipeptide-5-diaminobutyroyl-hydroxythreonine,2026-08-14,"100 g and 1 kg prices visible; 1 kg $93,493.30/kg",93.49|93.49|93.49,direct public pack ladder,2-10% of suspension,medium,One of two component-like INCI records; not the full SYN-TACKS premix price.,93.49,cosmetic-grade formulated suspension,replacement-benchmark,"Doseable cosmetic material with a public pack ladder. Eligible as a matched pure-INCI replacement benchmark, not as evidence of the brand's actual supplier or invoice."
TRULUX-M3000,matrixyl_3000,Matrixyl 3000,commercial premix,Trulux,https://trulux.com/products/matrixyl-3000/,2026-08-14,"AU$207.80/50 g; AU$356.10/100 g; AU$1,760/1 kg",1.14|2.31|2.70,direct public pack ladder,supplier-recommended 3-8%,high,Rounded 0.65 USD/AUD conversion; blend price includes carrier and is not pure PT-1 plus PT-7.,1.14,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
TRULUX-S6,matrixyl_synthe6,Matrixyl Synthe'6,commercial premix,Trulux,https://trulux.com/products/matrixyl-synthe-6/,2026-08-14,"AU$227/50 g; AU$389.60/100 g; AU$1,947.70/1 kg",1.27|2.53|2.95,direct public pack ladder,supplier-recommended use rate,high,Rounded 0.65 USD/AUD conversion; blend price is not pure PT-38.,1.27,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
TRULUX-SYNCOLL,palmitoyl_tripeptide_5,SYN-COLL,commercial premix,Trulux,https://trulux.com/products/syn-coll/,2026-08-14,public 50 g through 1 kg pack ladder,0.75|1.50|1.85,direct public pack ladder,supplier-recommended use rate,medium,Commercial blend price retained separately from pure PT-5 suspension.,0.75,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
HERBARIE-SYNTACKS,syn_tacks,SYN-TACKS,commercial premix,The Herbarie,https://www.theherbarie.com/Syn-Tacks.html,2026-08-14,$10/1/3 oz; $54.95/1 oz; $218.64/4 oz; $655/lb,1.06|2.00|10.00,direct public pack ladder,1%,high,"Pack-size normalization uses 28.35 g/oz and 453.59 g/lb; commercial glycerin solution, not pure component.",1.06,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
NEW-DIR-M3000,matrixyl_3000,Matrixyl 3000,commercial premix,New Directions Australia,https://www.newdirections.com.au/Raw-Materials-Cosmetic-Ingredients/Active-Ingredients/Matrixyl-R-3000-Active-Ingredients,2026-08-14,"AU$60.50/17 g; AU$330/100 g; AU$1,100/500 g; AU$1,749/kg",1.14|2.15|2.31,direct public pack ladder,supplier-recommended use rate,medium,Independent public retail-distributor cross-check; rounded 0.65 USD/AUD conversion.,1.14,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
X50,x50_antiaging,X50 Antiaging,commercial delivery premix,Technical Art of Science / distributor,https://www.technicalartofscience.com/product/x50-antiaging-powder/,2026-08-14,public distributor pack ladder; UAH prices normalized in prior research,0.67|0.75|0.83,public distributor signal,supplier-recommended use rate,medium,Commercial active containing two peptide technologies; not pure heptapeptide price.,0.67,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
MUNAPSYS,acetyl_hexapeptide_1,Acetyl Hexapeptide-1 / Munapsys,commercial solution,New Directions Australia,https://www.newdirections.com.au/500g-Munapsys,2026-08-14,AU$1.76-3.56/g across public pack sizes,1.14|1.75|2.31,public distributor ladder,supplier-recommended use rate,medium,"Rounded 0.65 USD/AUD conversion; commercial solution, not pure peptide.",1.14,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
SKINARCH,skinarch,Skinarch,commercial blend,Lipotrue,https://lipotrue.com/products/skinarch/,2026-08-14,"public 1 kg listing around MXN 7,039.41/kg",0.30|0.35|0.40,public distributor signal,supplier-recommended use rate,medium,Approximate USD conversion only; blend identity and carrier make this non-comparable with pure peptide powder.,0.3,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
PROGELINE,trifluoroacetyl_tripeptide_2,Trifluoroacetyl Tripeptide-2 / Progeline,pure/raw listing,Alibaba and GLPBio,https://www.alibaba.com/product-introduction/Cosmetic-Raw-Material-Trifluoroacetyl-Tripeptide-2_1601339981857.html,2026-08-14,cosmetic listing about $39-59/g; research catalog $320-500/g,39.00|49.00|59.00,public marketplace/catalog range,supplier-dependent,medium,"Research-grade catalog price is a ceiling, not a cosmetic manufacturing base case.",39,pure/research material; not the branded cosmetic solution,excluded,Superseded by the New Directions Progeline commercial solution. Do not apply this powder/research range to a formula naming Progeline.
PDRN,sodium_dna_pdrn,Sodium DNA / PDRN,bulk marketplace signal,Alibaba supplier index,https://www.alibaba.com/supplier/polynucleotides-supplier-supplier-for-wholesale.html,2026-08-14,bulk supplier range around $80-150/kg,0.08|0.115|0.15,marketplace bulk signal,supplier-dependent,low,"Source, molecular weight, endotoxin controls, and PN/PDRN distinction can change the price materially.",0.08,unverified marketplace bulk signal,excluded,"The listing does not adequately verify the cosmetic Sodium DNA specification, source, molecular-weight distribution, or QC package used in the finished product."
FGF2,sh_polypeptide_1,sh-Polypeptide-1 / FGF2,small-lot/catalog signal,TradeIndia and Enantis,https://www.tradeindia.com/products/sh-polypeptide-1-rh-polypeptide-1-bfgf-8783080.html,2026-08-14,about $10-30/mg in a 1 mg MOQ listing,10000.00|20000.00|30000.00,small-lot price signal,ppm-level use,low,Use only as a small-lot ceiling; FGF2-STAB bulk contract price is not public.,10000,research/small-lot recombinant protein,excluded,A milligram-scale recombinant-protein price is not a routine cosmetic-formulation input price; retained only as historical evidence.
MATRIXYL-PURE,palmitoyl_pentapeptide_4,Palmitoyl Pentapeptide-4,pure powder listing,Rhine Biotech and other public listings,https://www.rhinebiotech.com/cosmetic-raw-materials/62318807.html,2026-08-14,public pure-peptide listings about $28-132/g,28.00|80.00|132.00,public small-lot range,supplier-dependent,medium,Cross-check against the Formulate Labs suspension; not the same grade or carrier basis.,28,cosmetic pure-peptide powder,evidence-only,"Chemistry is relevant, but the material form must not be applied to a product that names a commercial Matrixyl premix."
HEX9,hexapeptide_9,Hexapeptide-9,research-grade catalog,ChemicalBook/Biosynth listing,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB83051997.htm,2026-08-14,"$171.88/0.05 g through about $1,100/g",171.88|687.50|1100.00,research catalog ceiling,not a cosmetic use-rate source,low,Research-grade price is not a responsible finished-formula input cost.,171.88,research-grade catalog material,excluded,Superseded by the Bellahut Collaxyl cosmetic concentrate; the research catalog is not used in product-cost estimates.
NO-PRICE-BIOGF,bio_gf_complex,BIO GF Complex,proprietary recombinant blend,The Ordinary product/formulator records,,2026-08-14,no public matched price,,no public price located,product-specific use level only,none,Do not substitute commodity EGF or FGF prices for the branded multi-factor complex.,0,matched cosmetic technology; public quote unavailable,quote-gap,"The material identity is formulation-relevant, but no auditable public pack price was found. A supplier quote is required."
NEW-DIR-S6,matrixyl_synthe6,Matrixyl Synthe'6,commercial premix,New Directions Australia,https://www.newdirections.com.au/epages/newdirections.sf/en_AU/?ObjectPath=%2FShops%2Fnewdirections%2FProducts%2FRMAA1KMATRSYN6,2026-08-14,"AU$1,357.40/1 kg",0.88|0.88|0.88,public distributor listing,supplier-recommended use rate,medium,"One public 1 kg distributor price, converted at the same rounded 0.65 USD/AUD orientation used elsewhere; cross-check only, not a contract manufacturer quote.",0.88,cosmetic commercial premix or solution,preferred,The public material is sold for cosmetic formulation in the same commercial-input class named by the product.
NO-PRICE-MORPH,matrixyl_3000,Matrixyl Morphomics,commercial premix,official supplier/distributor records,,2026-08-14,no reliable current public pack ladder,,no public price located,supplier-specific,none,The name is present in the formulation scan but the current public price record is not auditable enough.,0,matched cosmetic technology; public quote unavailable,quote-gap,"The material identity is formulation-relevant, but no auditable public pack price was found. A supplier quote is required."
NO-PRICE-NEOCLAIR,neoclair_pro,Acetyl Tetrapeptide-2 / Neøclair Pro,commercial premix,EW / supplier technical records,https://www.ewlerp.com/___country___/uploadedfile/rawmaterial/cat2/TD-OU1010-Neoclair%20Pro%20%281%29.pdf,2026-08-14,technical identity and use guidance; no public price,,no public price located,supplier-specific,none,Keep unpriced until a matched quote identifies the commercial material and pack basis.,0,matched cosmetic technology; public quote unavailable,quote-gap,"The material identity is formulation-relevant, but no auditable public pack price was found. A supplier quote is required."
ESCENTIALS-TEGO,tetrapeptide_21,TEGO PEP 4-17 / Tetrapeptide-21,"commercial cosmetic solution; 2,300 ppm Tetrapeptide-21 in butylene glycol/water",Escentials of Australia,https://www.escentialsofaustralia.com/products/productid1564,2026-08-14,"A$26/5 g; A$99/25 g; A$365/100 g; A$1,560/500 g; normalized at 0.70 USD/AUD",2.18|2.56|3.64,direct public cosmetic pack ladder,0.5-5%; refrigerated; cool-down below 40 C,high,Exact cosmetic material class for formulas naming TEGO PEP 4-17. Public 500 g price is the selected manufacturer-oriented anchor; direct Evonik contract pricing may be lower.,2.18,matched branded cosmetic solution,preferred,"Same named commercial technology, cosmetic carrier system, peptide assay, formulation guidance, and public multi-pack price ladder."
NEW-DIR-PROGELINE,trifluoroacetyl_tripeptide_2,Progeline / Trifluoroacetyl Tripeptide-2,commercial cosmetic solution; glycerin/water/Tripeptide-2,New Directions Australia,https://www.newdirections.com.au/RMAA1KPROGELIN,2026-08-14,"A$66/17 g; A$275/100 g; A$770/500 g; A$1,430/1 kg; normalized at 0.70 USD/AUD",1.00|1.08|2.72,direct public cosmetic pack ladder,0.2-2%; add below 40 C; final pH 4-6,high,Correct commercial solution class for a formula naming Progeline; the 1 kg public pack is the selected anchor.,1.00,matched branded cosmetic solution,preferred,Same named commercial cosmetic technology with public pack prices and supplier dosing guidance.
BELLAHUT-COLLAXYL,hexapeptide_9,Collaxyl / Hexapeptide-9,water/glycerin cosmetic concentrate; density 1.10-1.15 g/mL,Bellahut,https://bellahut.com/mobile/itemslarge/39/19-106/Pure-Collaxyl-Peptide,2026-08-14,$29.95/10 mL; $49.95/20 mL; $59.95/30 mL; $89.95/60 mL; $139.95/120 mL; normalized using midpoint density 1.125 g/mL,1.04|1.33|2.66,direct public cosmetic concentrate ladder,0.5-5%; cool-down below 40 C; refrigerated storage,medium,"Correct ready-to-formulate material class; exact peptide assay is not published, so this is a concentrate price rather than a pure-Hexapeptide-9 price.",1.04,cosmetic commercial concentrate,preferred,"Sold specifically as a cosmetic-formulation additive with use rate, INCI, physical properties, and public multi-size prices."
SKINCAREACTIVE-PDRN,sodium_dna_pdrn,Sodium DNA / PDRN,99.8% cosmetic-grade Sodium DNA powder,SkincareActive,https://skincareactive.com/products/sodium-dna/,2026-08-14,COA/TDS/sample and commercial quote available; no public pack price,,cosmetic supplier quote required,0.02-1%; 0.2-0.3% water-based formula reference,medium,"Strong formulation/specification match but no public price. Useful for dose selection and RFQ requirements, not a zero-cost line.",,matched cosmetic powder; public quote unavailable,quote-gap,"Material specification and use rate match topical formulation, but price remains private."
ALIBABA-PDRN-COS,sodium_dna_pdrn,Sodium DNA / PDRN,cosmetic-grade PDRN/Sodium DNA powder marketplace listings,Alibaba cosmetic raw-material listings,https://www.alibaba.com/showroom/polydeoxyribonucleotide.html,2026-08-14,Visible cosmetic-grade examples about $4.80-10/g at 1 g MOQ and $10-15/g for higher-assay small lots,4.80|10.00|15.00,public cosmetic marketplace range,supplier-dependent; cross-check against 0.02-1% cosmetic use guidance,low,"Selected $10/g category anchor is a public cosmetic-powder replacement estimate, not a verified brand quote. Require COA, source, molecular-weight, endotoxin, and protein-content confirmation.",10.00,cosmetic powder; marketplace specification not fully verified,replacement-benchmark,"Correct topical material class and explicit cosmetic positioning, but seller-level specification and lot quality require verification."
AMERIGO-FGF2STAB,sh_polypeptide_1,FGF2-STAB / sh-Polypeptide-1,thermostable cosmetic FGF2 powder,Amerigo Scientific / Enantis,https://www.amerigoscientific.com/fgf2-stab-thermostable-fgf2-for-cosmetics-item-531111.html,2026-08-14,"$721 catalog display, but accessible page does not establish the package mass",,cosmetic catalog price lacks unit basis,0.001% final product (10 micrograms/mL),medium,"Correct cosmetics-specific material and use rate, but no $/g is calculated until the $721 package size is verified.",,matched cosmetics-specific growth factor; unit price incomplete,quote-gap,Formulation fit is strong; the visible price is not model-eligible because the package mass is missing.
