ingredient_key,ingredient_name,trade_name_or_form,public_price,price_basis,price_scope,source_urls,confidence,notes
palmitoyl_tripeptide_1,Palmitoyl Tripeptide-1,pure powder,"about $20–85/g",specialty raw powder,public supplier listings,"https://www.rhinebiotech.com/cosmetic-raw-materials/62318807.html;https://www.echemi.com/produce/pr2501271072-wholesale-price-cosmetic-grade-beauty-product-palmitoyl-tripeptide-1-cas-147732-56-7.html",medium,"Use Matrixyl 3000 price where the formula buys the commercial blend."
palmitoyl_tetrapeptide_7,Palmitoyl Tetrapeptide-7,pure powder,"about $4–9/kg bulk; $50–95/g small lot",bulk vs small-lot powder,marketplace price bands,"https://www.alibaba.com/insights/palmitoyl-tetrapeptide-7.html;https://www.made-in-china.com/price/prodetail_Herbal-Extract_wpvYimQbbFcr.html",low_medium,"Marketplace unit basis needs seller confirmation."
palmitoyl_hexapeptide_12,Palmitoyl Hexapeptide-12,INCI suspension/powder,"about $27.68/g suspension; $100–150/g powder",formulated suspension vs specialty powder,public supplier listings,"https://www.formulatelabs.ai/materials/palmitoyl-hexapeptide-12;https://www.greenwaybiochem.com/Cosmetic-Peptide-Anti-Wrinkle-Palmitoyl-Hexapeptide-12-Powder-617?d=1.7",medium,"Choose the form matching the formula input."
trifluoroacetyl_tripeptide_2,Trifluoroacetyl Tripeptide-2,Progeline powder,"about $39–59/g cosmetic; $320–500/g research",cosmetic powder vs research catalog,public supplier listings,"https://www.alibaba.com/product-introduction/Cosmetic-Raw-Material-Trifluoroacetyl-Tripeptide-2_1601339981857.html;https://www.glpbio.com/trifluoroacetyl-tripeptide-2.html",medium,"Research grade is a ceiling, not a manufacturing cost."
palmitoyl_pentapeptide_4,Palmitoyl Pentapeptide-4,Matrixyl pure peptide,"about $28–132/g",specialty raw powder,public supplier listings,"https://jiuzhoushiye.lookchem.com/products/CasNo-214047-00-4-Palmitoyl-pentapeptide-4-CAS-NO-214047-00-4-37542146.html;https://www.wzbiotech.com/Raw-Material-Cosmetics-Peptides-Matrixyl-Acetate-Palmitoyl-Pentapeptide-4-CAS-214047-00-4-1940?page=3&tag=wholesale",medium,"Not the same product as Matrixyl 3000."
palmitoyl_tripeptide_8,Palmitoyl Tripeptide-8,raw powder listing,"about $75/kg listing",ambiguous supplier listing,public supplier page,https://www.chemicalbook.com/ProductDetail_EN_palmitoyl-tripeptide-8_2495020.htm,low,"Price display is ambiguous; retain as a low-confidence floor."
nonapeptide_1,Melanostatine-5 / Nonapeptide-1,cosmetic suspension/powder,"about $19.69–31.20/g suspension; $25–110/g marketplace",formulated suspension vs marketplace powder,public supplier listings,"https://www.formulatelabs.ai/materials/nonapeptide-1;https://www.alibaba.com/countrysearch/CN/melanostatin-5.html",low_medium,"Research-grade catalogs are much higher and not used as base."
acetyl_hexapeptide_1,Acetyl Hexapeptide-1,Munapsys commercial solution,"about AU$1.76–3.56/g",commercial active solution,New Directions Australia pack ladder,"https://www.newdirections.com.au/Raw-Materials-Cosmetic-Ingredients/Active-Ingredients/Munapsys-Active-Ingredients;https://www.newdirections.com.au/epages/newdirections.sf/en_AU/?ObjectPath=%2FShops%2FNewDirections%2FProducts%2FRMAA1LMUNAPSYS",high,"Water/glycerin/caprylyl glycol carrier; not pure peptide."
skinarch,Skinarch,commercial active blend,"MXN 7,039.41/kg",commercial active blend,public distributor listing,https://sip.pochteca.net/index.php/skinarchtm-1kg.html,medium,"Carrier and branded assay are not separately priced."
x50_antiaging,X50 Antiaging,commercial delivery system,"about $0.67–0.83/g equivalent at 10–100 g packs",commercial active/premix,public distributor listing,https://xn----utbcjbgv0e.com.ua/en/x50-antiaging-d-t-i-10-gr.html,medium,"Technical composition contains two peptide actives at very low levels; not pure peptide."
oligopeptide_68,Oligopeptide-68,INCI suspension/raw listing,"about $64.63–102.40/g suspension; $25–400/g raw",formulated suspension vs marketplace raw,public supplier listings,"https://www.formulatelabs.ai/materials/oligopeptide-68;https://www.alibaba.com/product-detail/oligopeptide-68-Cosmetic-raw-materials-CAS_1601360959757.html",low_medium,"Extremely noisy public market."
acetyl_octapeptide_3,Acetyl Octapeptide-3,SNAP-8 powder/premix,"about £48.65–52.39/g listing; €21.20/15 mL premix",small-lot listing vs diluted active,marketplace and DIY supplier,"https://www.alibaba.com/product-detail/Cosmetic-Grade-Acetyl-Octapeptide-3-CAS_1601700412589.html;https://www.beautylabthestore.gr/en/cosmetics-active-ingredients",low_medium,"Seller unit basis needs confirmation."
tego_pep_4_17,Tetrapeptide-21,TEGO Pep 4-17 pure/suspension/premix,"$10–15/g supplier; $70/100 mg specialty; $50.56–80.11/g suspension",pure listing vs suspension vs commercial premix,public supplier and technical pages,"https://www.qualitide.com/products/tetrapeptide-21-tegopep4-17;https://www.formulatelabs.ai/materials/tetrapeptide-21;https://www.ewlerp.com/___country___/uploadedfile/rawmaterial/cb/pdr_TEGO_Pep_4_17.pdf",low_medium,"Evonik record says approximately 0.21% peptide in the premix."
syn_tacks,SYN-TACKS,commercial solution,"about $1.44/g at 1 lb pack",commercial peptide technology,The Herbarie pack ladder,https://www.theherbarie.com/Syn-Tacks.html,high,"Smaller packs are more expensive; not pure peptides."
hexapeptide_9,Hexapeptide-9,Collaxyl research-grade powder,"$171.88/0.05 g to $1,100/g",research-grade catalog,Biosynth listing via ChemicalBook,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB83051997.htm,medium,"Research catalog ceiling only."
sh_polypeptide_1,sh-Polypeptide-1,bFGF/FGF2-STAB,"about $10–30/mg quote; $721 catalog price with size unclear",recombinant protein small lot,public supplier listings,"https://www.tradeindia.com/products/sh-polypeptide-1-rh-polypeptide-1-bfgf-8783080.html;https://www.amerigoscientific.com/fgf2-stab-thermostable-fgf2-for-cosmetics-item-531111.html",low,"Pack size and grade prevent a clean per-gram number."
sh_oligopeptide_1,sh-Oligopeptide-1,EGF listing,"about £29.89–74.72/g listing",marketplace small lot,public supplier listing,https://www.alibaba.com/product-detail/In-Stock-Anti-wrinkle-Peptide-Oligopeptide_1601676279217.html,low,"Unit basis ambiguous."
sh_oligopeptide_2,sh-Oligopeptide-2,IGF-1 liposomal liquid,"no public price",quote-only recombinant liquid,technical supplier pages,"https://biofdnc-global.com/page/?in_id=9&pid=product_detail;https://www.immobazyme.com/cosmeticpeptides",high,"Identity and use level found; no price."
bio_gf_complex,BIO GF Complex,recombinant growth-factor complex,"no public raw price; finished-product context only",proprietary complex,official finished-product pages,"https://assenzacosmetici.it/products/exo-revive-siero-esosomi-30ml;https://skingenerics.com/en/collections/bio-gf-complex",high,"Do not use finished-product retail price as raw material cost."
neoclair_pro,Neoclair Pro / Acetyl Tetrapeptide-2,commercial active blend,"no public price",quote-only branded blend,supplier identity pages,"https://www.aston-chemicals.com/single-product?id=2011;https://cosmetics.specialchem.com/product/i-lipotrue-neoclair-pro",high,"No responsible public unit price located."
nutecyl,Nutecyl / C-Pep Nutecyl,commercial active blend,"no matched public price; related trade signal about $137/kg",trade-data related variant,Corum and Volza pages,"https://en.corum-esg.com/load_page/get_news_content/100;https://www.volza.com/p/sulphuric-or-acid/export/export-from-taiwan/hsn-code-29171300/",low,"Related CC ester is not assumed interchangeable."
sodium_dna,Sodium DNA / PDRN,cosmetic PN/PDRN raw material,"about $80–150/kg bulk signal; small-lot prices vary widely",bulk vs specialty raw material,public supplier and catalogue pages,"https://www.alibaba.com/supplier/polynucleotides-supplier-supplier-for-wholesale.html;https://www.beautetrade.com/products/cosmetic-raw-materials/61887/",low_medium,"Grade, molecular weight, source, and endotoxin specification are decisive."
acetylarginyltryptophyl_diphenylglycine,Acetylarginyltryptophyl Diphenylglycine,Relistase,"no reliable public unit price; unverified list signal 14,000",ambiguous price-list signal,supplier/search pages,"https://www.scribd.com/document/708282727/Scale-Price-List;https://turkish.peptide-powder.com/doc/41054193/cas1334583-93-5-acetylarginyltryptophyl-diphenylglycine-powder-for-anti-age.pdf",low,"Currency, pack size, and date unclear."
tripeptide_2,Tripeptide-2,unbranded/complex ingredient,"no public price",quote-only or mixed identity,search outcome,,high,"Do not substitute another tripeptide."
copper_lysinate_complex,Copper Lysinate Complex,commercial complex,"no public price",proprietary complex,technical composition page,https://www.ewlerp.com/___country___/uploadedfile/rawmaterial/cat3/Tox%20file%20Neodermyl%20v2%20131107.pdf,high,"Pure GHK-Cu price is not a substitute."
bio_placenta,Bio-Placenta,growth-factor blend,"793 Turkish lira product price; pack size unclear",finished active retail signal,raw-material retailer page,https://www.kozmetikhammaddeler.com/urun/bio-placenta-2-107,low,"Not normalized to per gram; not used as a unit cost."
