record_id,pmid,doi,pmcid,year,title,journal,authors,open_access,full_text_available,source_query,europe_pmc_url
35339969,35339969,10.1016/j.watres.2022.118320,,2022,ROS-mediated photoaging pathways of nano- and micro-plastic particles under UV irradiation.,,"Duan J, Li Y, Gao J, Cao R, Shang E, Zhang W.",N,,photoaging,https://europepmc.org/article/MED/35339969
18649702,18649702,,,2008,Overview of skin aging and photoaging.,,"Helfrich YR, Sachs DL, Voorhees JJ.",N,,photoaging,https://europepmc.org/article/MED/18649702
21907230,21907230,10.1016/j.pbiomolbio.2011.08.010,PMC3409870,2011,Childhood exposure to ultraviolet radiation and harmful skin effects: epidemiological evidence.,,"Green AC, Wallingford SC, McBride P.",N,,photoaging,https://europepmc.org/article/MED/21907230
28919421,28919421,10.1016/j.bbrc.2017.09.056,,2017,Exosomes derived from human umbilical cord blood mesenchymal stem cells stimulates rejuvenation of human skin.,,"Kim YJ, Yoo SM, Park HH, Lim HJ, Kim YL, Lee S, Seo KW, Kang KS.",N,,photoaging,https://europepmc.org/article/MED/28919421
27559496,27559496,10.4103/2229-5178.185468,PMC4976400,2016,Microneedling: Advances and widening horizons.,,"Singh A, Yadav S.",Y,,photoaging,https://europepmc.org/article/MED/27559496
21292345,21292345,10.1016/j.jaad.2010.01.005,,2011,Sunscreens: an overview and update.,,"Sambandan DR, Ratner D.",N,,photoaging,https://europepmc.org/article/MED/21292345
33349436,33349436,10.1016/j.jid.2020.09.031,,2021,Cellular Senescence and the Senescence-Associated Secretory Phenotype as Drivers of Skin Photoaging.,,"Fitsiou E, Pulido T, Campisi J, Alimirah F, Demaria M.",N,,photoaging,https://europepmc.org/article/MED/33349436
25811565,25811565,10.1097/prs.0000000000001123,,2015,Antiaging treatment of the facial skin by fat graft and adipose-derived stem cells.,,"Charles-de-Sá L, Gontijo-de-Amorim NF, Maeda Takiya C, Borojevic R, Benati D, Bernardi P, Sbarbati A, Rigotti G.",N,,photoaging,https://europepmc.org/article/MED/25811565
22611357,22611357,10.3390/md10030604,PMC3347018,2012,Fucoxantin: a treasure from the sea.,,"D'Orazio N, Gemello E, Gammone MA, De Girolamo M, Ficoneri C, Riccioni G.",Y,,photoaging,https://europepmc.org/article/MED/22611357
17518354,17518354,10.1002/lsm.20512,,2007,The prevalence and risk factors of post-inflammatory hyperpigmentation after fractional resurfacing in Asians.,,"Chan HH, Manstein D, Yu CS, Shek S, Kono T, Wei WI.",N,,photoaging,https://europepmc.org/article/MED/17518354
24101874,24101874,10.2147/ccid.s44686,PMC3790843,2013,Effect of the sun on visible clinical signs of aging in Caucasian skin.,,"Flament F, Bazin R, Laquieze S, Rubert V, Simonpietri E, Piot B.",Y,,photoaging,https://europepmc.org/article/MED/24101874
19896749,19896749,10.1016/j.jaad.2009.09.033,PMC2815347,2010,Chronic phototoxicity and aggressive squamous cell carcinoma of the skin in children and adults during treatment with voriconazole.,,"Cowen EW, Nguyen JC, Miller DD, McShane D, Arron ST, Prose NS, Turner ML, Fox LP.",N,,photoaging,https://europepmc.org/article/MED/19896749
17083487,17083487,10.1111/j.1600-0749.2006.00338.x,,2006,Relationship between skin response to ultraviolet exposure and skin color type.,,"Del Bino S, Sok J, Bessac E, Bernerd F.",N,,photoaging,https://europepmc.org/article/MED/17083487
30444533,30444533,10.1111/phpp.12439,,2019,A review of inorganic UV filters zinc oxide and titanium dioxide.,,"Schneider SL, Lim HW.",N,,photoaging,https://europepmc.org/article/MED/30444533
28702744,28702744,10.1007/s10522-017-9715-7,PMC5514221,2017,Plant extracts and natural compounds used against UVB-induced photoaging.,,"Cavinato M, Waltenberger B, Baraldo G, Grade CVC, Stuppner H, Jansen-Dürr P.",Y,,photoaging,https://europepmc.org/article/MED/28702744
24771971,24771971,10.5978/islsm.14-re-01,PMC3999431,2014,The Role of the CO2 Laser and Fractional CO2 Laser in Dermatology.,,"Omi T, Numano K.",N,,photoaging,https://europepmc.org/article/MED/24771971
18940542,18940542,10.1016/j.clindermatol.2007.09.010,,2008,The latest on skin photoprotection.,,"González S, Fernández-Lorente M, Gilaberte-Calzada Y.",N,,photoaging,https://europepmc.org/article/MED/18940542
34924312,34924312,10.1016/j.cytogfr.2021.11.003,,2022,Applications of the regenerative capacity of platelets in modern medicine.,,"Cecerska-Heryć E, Goszka M, Serwin N, Roszak M, Grygorcewicz B, Heryć R, Dołęgowska B.",N,,photoaging,https://europepmc.org/article/MED/34924312
33764577,33764577,10.1111/jdv.17242,PMC8252523,2021,Photoprotection according to skin phototype and dermatoses: practical recommendations from an expert panel.,,"Passeron T, Lim HW, Goh CL, Kang HY, Ly F, Morita A, Ocampo Candiani J, Puig S, Schalka S, Wei L, Dréno B, Krutmann J.",Y,,photoaging,https://europepmc.org/article/MED/33764577
38428192,38428192,10.1016/j.envint.2024.108535,,2024,Current insights and future perspectives of ultraviolet radiation (UV) exposure: Friends and foes to the skin and beyond the skin.,,"Tang X, Yang T, Yu D, Xiong H, Zhang S.",N,,photoaging,https://europepmc.org/article/MED/38428192
17224484,17224484,10.1001/archfaci.9.1.22,,2007,Selective creation of thermal injury zones in the superficial musculoaponeurotic system using intense ultrasound therapy: a new target for noninvasive facial rejuvenation.,,"White WM, Makin IR, Barthe PG, Slayton MH, Gliklich RE.",N,,photoaging,https://europepmc.org/article/MED/17224484
28524092,28524092,10.3390/md15050143,PMC5450549,2017,Marine Fish Proteins and Peptides for Cosmeceuticals: A Review.,,"Venkatesan J, Anil S, Kim SK, Shim MS.",Y,,photoaging,https://europepmc.org/article/MED/28524092
19686366,19686366,10.1111/j.1524-4725.2009.01258.x,,2009,Review of fractional photothermolysis: treatment indications and efficacy.,,"Tierney EP, Kouba DJ, Hanke CW.",N,,photoaging,https://europepmc.org/article/MED/19686366
18459971,18459971,10.1111/j.1600-0625.2008.00747.x,,2008,UV-induced DNA damage initiates release of MMP-1 in human skin.,,"Dong KK, Damaghi N, Picart SD, Markova NG, Obayashi K, Okano Y, Masaki H, Grether-Beck S, Krutmann J, Smiles KA, Yarosh DB.",N,,photoaging,https://europepmc.org/article/MED/18459971
32797756,32797756,10.1021/acs.est.0c02608,,2020,Microplastics Reduce Lipid Digestion in Simulated Human Gastrointestinal System.,,"Tan H, Yue T, Xu Y, Zhao J, Xing B.",N,,photoaging,https://europepmc.org/article/MED/32797756
22312244,22312244,10.3390/ijms13010142,PMC3269678,2012,Protein kinases and transcription factors activation in response to UV-radiation of skin: implications for carcinogenesis.,,"López-Camarillo C, Ocampo EA, Casamichana ML, Pérez-Plasencia C, Alvarez-Sánchez E, Marchat LA.",Y,,photoaging,https://europepmc.org/article/MED/22312244
23973754,23973754,10.1016/j.ijpharm.2013.08.019,,2013,"Nano-lipoidal carriers of tretinoin with enhanced percutaneous absorption, photostability, biocompatibility and anti-psoriatic activity.",,"Raza K, Singh B, Lohan S, Sharma G, Negi P, Yachha Y, Katare OP.",N,,photoaging,https://europepmc.org/article/MED/23973754
19675552,19675552,10.1038/jidsymp.2009.1,,2009,Role of mitochondria in photoaging of human skin: the defective powerhouse model.,,"Krutmann J, Schroeder P.",N,,photoaging,https://europepmc.org/article/MED/19675552
25582033,25582033,10.1111/jocd.12123,,2015,Natural products as photoprotection.,,"Saewan N, Jimtaisong A.",N,,photoaging,https://europepmc.org/article/MED/25582033
28796657,28796657,10.1097/dss.0000000000001248,,2018,Microneedling: A Review and Practical Guide.,,"Alster TS, Graham PM.",N,,photoaging,https://europepmc.org/article/MED/28796657
27213821,27213821,10.1002/ptr.5640,,2016,Effects of Turmeric (Curcuma longa) on Skin Health: A Systematic Review of the Clinical Evidence.,,"Vaughn AR, Branum A, Sivamani RK.",N,,photoaging,https://europepmc.org/article/MED/27213821
21421326,21421326,10.1016/j.jphotobiol.2011.02.018,,2011,Effects of blue light irradiation on human dermal fibroblasts.,,"Opländer C, Hidding S, Werners FB, Born M, Pallua N, Suschek CV.",N,,photoaging,https://europepmc.org/article/MED/21421326
19483584,19483584,10.1097/prs.0b013e3181a3f361,,2009,A systematic review of patient-reported outcome measures after facial cosmetic surgery and/or nonsurgical facial rejuvenation.,,"Kosowski TR, McCarthy C, Reavey PL, Scott AM, Wilkins EG, Cano SJ, Klassen AF, Carr N, Cordeiro PG, Pusic AL.",N,,photoaging,https://europepmc.org/article/MED/19483584
21315951,21315951,10.1016/j.jaad.2010.06.045,PMC6541915,2011,Radiofrequency facial rejuvenation: evidence-based effect.,,"el-Domyati M, el-Ammawi TS, Medhat W, Moawad O, Brennan D, Mahoney MG, Uitto J.",N,,photoaging,https://europepmc.org/article/MED/21315951
17982124,17982124,10.2353/ajpath.2007.070136,PMC2043507,2007,Chronic ultraviolet B irradiation causes loss of hyaluronic acid from mouse dermis because of down-regulation of hyaluronic acid synthases.,,"Dai G, Freudenberger T, Zipper P, Melchior A, Grether-Beck S, Rabausch B, de Groot J, Twarock S, Hanenberg H, Homey B, Krutmann J, Reifenberger J, Fischer JW.",N,,photoaging,https://europepmc.org/article/MED/17982124
18090342,18090342,10.1097/01.prs.0000248794.63898.0f,,2007,The role of hyaluronic acid fillers (Restylane) in facial cosmetic surgery: review and technical considerations.,,"Rohrich RJ, Ghavami A, Crosby MA.",N,,photoaging,https://europepmc.org/article/MED/18090342
24124905,24124905,10.1089/ars.2013.5653,,2014,Damage to skin extracellular matrix induced by UV exposure.,,"Watson RE, Gibbs NK, Griffiths CE, Sherratt MJ.",N,,photoaging,https://europepmc.org/article/MED/24124905
30921116,30921116,10.1097/prs.0000000000005429,PMC7597953,2019,Rheologic and Physicochemical Properties Used to Differentiate Injectable Hyaluronic Acid Filler Products.,,"Fagien S, Bertucci V, von Grote E, Mashburn JH.",Y,,photoaging,https://europepmc.org/article/MED/30921116
28647616,28647616,10.1016/j.pdpdt.2017.06.010,PMC5600676,2017,Photodynamic therapy in dermatology beyond non-melanoma cancer: An update.,,"Wen X, Li Y, Hamblin MR.",N,,photoaging,https://europepmc.org/article/MED/28647616
31009668,31009668,10.1016/j.jaad.2019.04.037,,2019,Platelet-rich plasma and its utility in medical dermatology: A systematic review.,,"Hesseler MJ, Shyam N.",N,,photoaging,https://europepmc.org/article/MED/31009668
29737899,29737899,10.1080/14764172.2018.1469767,,2019,Resveratrol as an active ingredient for cosmetic and dermatological applications: a review.,,"Ratz-Łyko A, Arct J.",N,,photoaging,https://europepmc.org/article/MED/29737899
25640693,25640693,10.1111/jdv.12966,,2015,European S1 guideline for the treatment of hidradenitis suppurativa/acne inversa.,,"Zouboulis CC, Desai N, Emtestam L, Hunger RE, Ioannides D, Juhász I, Lapins J, Matusiak L, Prens EP, Revuz J, Schneider-Burrus S, Szepietowski JC, van der Zee HH, Jemec GB.",N,,acne_devices,https://europepmc.org/article/MED/25640693
24049929,24049929,,PMC4126803,2013,"Low-level laser (light) therapy (LLLT) in skin: stimulating, healing, restoring.",,"Avci P, Gupta A, Sadasivam M, Vecchio D, Pam Z, Pam N, Hamblin MR.",N,,acne_devices,https://europepmc.org/article/MED/24049929
29894579,29894579,10.1111/jdv.15043,,2018,Cutibacterium acnes (Propionibacterium acnes) and acne vulgaris: a brief look at the latest updates.,,"Dréno B, Pécastaings S, Corvec S, Veraldi S, Khammari A, Roques C.",N,,acne_devices,https://europepmc.org/article/MED/29894579
31650125,31650125,10.1016/s2589-7500(19)30012-3,PMC6798263,2019,A chronological map of 308 physical and mental health conditions from 4 million individuals in the English National Health Service.,,"Kuan V, Denaxas S, Gonzalez-Izquierdo A, Direk K, Bhatti O, Husain S, Sutaria S, Hingorani M, Nitsch D, Parisinos CA, Lumbers RT, Mathur R, Sofat R, Casas JP, Wong ICK, Hemingway H, Hingorani AD.",Y,,acne_devices,https://europepmc.org/article/MED/31650125
27189134,27189134,10.1016/j.jconrel.2016.05.034,,2016,3D scanning and 3D printing as innovative technologies for fabricating personalized topical drug delivery systems.,,"Goyanes A, Det-Amornrat U, Wang J, Basit AW, Gaisford S.",N,,acne_devices,https://europepmc.org/article/MED/27189134
22150668,22150668,10.1111/j.2042-7158.2011.01369.x,,2012,Microneedles: an emerging transdermal drug delivery system.,,"Bariya SH, Gohel MC, Mehta TA, Sharma OP.",N,,acne_devices,https://europepmc.org/article/MED/22150668
