id,name,group,goal,layer,score,human_studies,review_count,rct_count,endpoint_fit,transparency,home_translation,confidence,best_use,caveat,archive_route
tranexamic,Tranexamic acid,ingredient,pigment,epidermis,76,36,9,16,89,80,high,Moderate,Melasma adjunct under appropriate guidance,Oral route has different systemic risks from topical route,13_combined_skincare_regimen/index.html
niacinamide,Niacinamide,ingredient,barrier|pigment|acne,epidermis,75,50,11,19,88,80,high,Moderate,Barrier and pigment-support adjunct,Finished formulas and percentages vary,13_combined_skincare_regimen/index.html
peptide-topical,Topical signaling peptides,peptide,photoaging,dermis,64,28,8,11,72,55,high,Limited,Low-risk cosmetic skin-quality adjunct,"Peptide identity, concentration, and finished-formula data are often missing",12_peptides_in_skincare/index.html
collagen-oral,Oral collagen peptides,peptide,photoaging,systemic,63,32,8,16,74,52,mixed,Limited,Modest hydration and elasticity adjunct,Oral pooled signal is not interchangeable with topical peptide evidence,12_peptides_in_skincare/index.html
zinc-barrier,Zinc oxide barrier protectant,ingredient,barrier,recovery,62,34,8,15,85,78,high,Moderate,Moisture and irritant barrier support,Facial anti-aging claims are extrapolated from protectant/wound data,09_zinc_oxide_barrier_cream/index.html
blue-led,Blue/red LED for acne,device,acne,follicle,61,28,6,10,80,65,high,Limited,Adjunct for inflammatory acne,Small heterogeneous home-device evidence base,04_red_light_therapy_handheld/index.html
picosecond,Pigment / fractional picosecond lasers,device,pigment|scars,epidermis,60,34,8,13,78,74,low,Limited,Clinician-selected pigment or scar protocols,Recurrence and PIH risk require diagnosis and follow-up,06_non_fractional_lasers/index.html
1927,1927 nm fractional thulium laser,device,pigment|texture,epidermis,59,28,7,12,82,68,low,Limited,Selected pigment and texture protocols,Home translation and darker-skin evidence are limited,03_fractional_laser_resurfacing/index.html
plla,PLLA / CaHA injectable biostimulators,injectable,laxity|volume,dermis,58,35,9,12,83,78,low,Limited,Diffuse volume loss and selected skin quality,"Material, label, reversibility, and injector skill are decisive",15_sculptra_plla_biostimulator/index.html
microcurrent,Microcurrent / EMS facial devices,device,appearance|laxity,superficial,39,16,3,5,61,45,mixed,Emerging,Short-term appearance or muscle-stimulation hypotheses,Long-term independent facial-aging evidence is thin,05_market_patent_intelligence/index.html
growth-factors,EGF / growth-factor topical adjuncts,ingredient,scars|recovery,dermal-matrix,44,20,5,8,68,50,mixed,Emerging,Procedure adjunct under controlled formulations,Delivery and finished-product identity are variable,03_fractional_laser_resurfacing/index.html
microbiome,Prebiotic / probiotic / microbiome topicals,ingredient,acne|barrier,microbiome,43,25,7,9,70,50,mixed,Emerging,Emerging adjunct research,"Strain, route, formulation, and durability vary widely",14_latest_skincare_research_2025_2026/index.html
1726,1726 nm sebum-selective acne laser,device,acne,follicle,48,18,4,5,79,70,low,Emerging,Clinician-selected moderate-to-severe acne,Promising recent data are not proof of home-device equivalence,14_latest_skincare_research_2025_2026/index.html
microcoring,Microcoring,procedure,laxity,dermis,36,14,3,4,72,60,low,Emerging,Early minimally invasive laxity research,Small and procedure-specific evidence base,05_market_patent_intelligence/index.html
whole-body-pbm,Whole-body PBM,device,recovery|systemic,systemic,31,20,5,7,58,50,mixed,Emerging,Exploratory recovery and systemic research,Surface dose is not absorbed deep-tissue dose,04_red_light_therapy_handheld/index.html
topical-delivery,Enhanced topical delivery / nanoformulations,ingredient,acne|photoaging,barrier,30,19,6,5,55,43,low,Emerging,Formulation and delivery research,Translational promise is not retail clinical proof,14_latest_skincare_research_2025_2026/index.html
