study_id,study_name,goal,time_months,endpoint,assessor,arm,rate_pct,numerator,denominator,ci_low,ci_high,evidence_class,caveat
P030050_S039,"FDA pivotal cheek-wrinkle trial",cheek wrinkles,12,"Correctly identify month-12 photograph",independent photographic reviewer,no treatment,16.0,,,,,"randomized controlled; blinded photo review","2D photo discrimination; denominator not reported in SSED summary"
P030050_S039_extension,"FDA pivotal cheek-wrinkle extension",cheek wrinkles,19,"Any GAIS improvement",treating investigator,Sculptra,97.0,64,66,89.5,99.6,"prospective extension; selected completers","Original treatment group; no treatment during extension"
P030050_S039_extension,"FDA pivotal cheek-wrinkle extension",cheek wrinkles,19,"Any GAIS improvement",subject,Sculptra,86.6,58,67,76.0,93.7,"prospective extension; selected completers","Original treatment group; no treatment during extension"
P030050_S039_extension,"FDA pivotal cheek-wrinkle extension",cheek wrinkles,21,"Any GAIS improvement",treating investigator,Sculptra,96.9,63,65,89.3,99.6,"prospective extension; selected completers","Original treatment group; no treatment during extension"
P030050_S039_extension,"FDA pivotal cheek-wrinkle extension",cheek wrinkles,21,"Any GAIS improvement",subject,Sculptra,93.8,61,65,85.0,98.3,"prospective extension; selected completers","Original treatment group; no treatment during extension"
P030050_S039_extension,"FDA pivotal cheek-wrinkle extension",cheek wrinkles,24,"Any GAIS improvement",treating investigator,Sculptra,93.8,61,65,85.0,98.3,"prospective extension; selected completers","Original treatment group; no treatment during extension"
P030050_S039_extension,"FDA pivotal cheek-wrinkle extension",cheek wrinkles,24,"Any GAIS improvement",subject,Sculptra,86.2,56,65,75.3,93.5,"prospective extension; selected completers","Original treatment group; no treatment during extension"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,11.1,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 8 mL",74.1,43,58,61.0,84.7,"randomized active comparison","Week 48 converted to 11.1 months; not placebo controlled"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,3.7,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 8 mL",75.4,43,57,62.2,85.9,"randomized active comparison","Week 16 converted to 3.7 months; not placebo controlled"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,5.5,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 8 mL",75.9,44,58,62.8,86.1,"randomized active comparison","Week 24 converted to 5.5 months; not placebo controlled"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,7.4,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 8 mL",67.3,37,55,53.3,79.3,"randomized active comparison","Week 32 converted to 7.4 months; not placebo controlled"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,9.2,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 8 mL",78.0,46,59,65.3,87.7,"randomized active comparison","Week 40 converted to 9.2 months; not placebo controlled"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,3.7,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 5 mL",95.2,20,21,76.2,99.9,"randomized active comparison","Week 16 converted to 3.7 months; reconstitution comparator, not untreated control"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,5.5,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 5 mL",81.0,17,21,58.1,94.6,"randomized active comparison","Week 24 converted to 5.5 months; reconstitution comparator, not untreated control"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,7.4,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 5 mL",81.0,17,21,58.1,94.6,"randomized active comparison","Week 32 converted to 7.4 months; reconstitution comparator, not untreated control"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,9.2,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 5 mL",81.0,17,21,58.1,94.6,"randomized active comparison","Week 40 converted to 9.2 months; reconstitution comparator, not untreated control"
43USSA1705,"Randomized 5 mL versus immediate-use 8 mL NLF study",nasolabial folds,11.1,"At least 1-grade WAS improvement",blinded evaluator,"Sculptra 5 mL",66.7,14,21,43.0,85.4,"randomized active comparison","Week 48 converted to 11.1 months; reconstitution comparator, not untreated control"
NCT00444210,"Sculptra versus human collagen NLF trial",nasolabial folds,13,"Overall subject global improvement",subject,Sculptra,91.0,106,116,,,"randomized subject-blinded active comparison","Secondary endpoint; rounded abstract value"
NCT00444210,"Sculptra versus human collagen NLF trial",nasolabial folds,13,"Overall subject global improvement",subject,human collagen,15.0,117,117,,,"randomized subject-blinded active comparison","Secondary endpoint; abstract reports decline to 15%"
NCT00444210_extension,"Sculptra versus human collagen NLF trial extension",nasolabial folds,25,"Overall subject global improvement",subject,Sculptra,81.0,,,,,"single-arm extension of randomized trial","Attrition and extension selection limit direct comparison"
