pmid,year,journal,title,publication_type,why_included,skin_or_population,key_signal,conflict_flag,pubmed_url
39269130,2025,JEADV,"Acne and the cutaneous microbiome: A systematic review",Systematic review,"High-prestige acne microbiome synthesis",26 included studies,"Maps microbiome mechanisms and treatment interactions",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39269130/
38877766,2025,JEADV,"International expert consensus recommendations for the use of dermocosmetics in acne",Consensus statement,"Practice framework for skincare alongside acne therapy",Acne patients and dermatology practice,"Supports dermocosmetics for tolerability and adjunctive care",none disclosed,https://pubmed.ncbi.nlm.nih.gov/38877766/
40996222,2026,JEADV,"Delphi consensus on melasma management by international experts and pigmentary disorders society",Consensus statement,"Current international melasma management framework",38 experts from 11 countries,"Synthesizes diagnosis, prevention, treatment, and recurrence management",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40996222/
41362125,2026,JEADV,"Global consensus on the management of melanin hyperpigmentation disorders",Consensus/review,"Global pigment framework already present in the main ledger",Multiple pigmentary disorders and phototypes,"Tailors algorithms across melasma, PIH, and other hyperpigmentation disorders",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41362125/
39404126,2025,Dermatologic Surgery,"Low-Level Laser and LED Therapy in Alopecia",Systematic review/meta-analysis,"Strong procedure-journal synthesis for light and hair",38 studies; 3098 patients,"Meta-analyzes hair-density outcomes, dominated by androgenetic alopecia",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39404126/
40116370,2025,Dermatologic Surgery,"Core Innovations in Skin Rejuvenation: A Systematic Review of Microcoring Technology",Systematic review,"Emerging rejuvenation technology review",8 studies; 112 clinical patients,"Finds early skin-remodeling signal with small clinical corpus",mixed/unclear,https://pubmed.ncbi.nlm.nih.gov/40116370/
39964075,2025,Dermatologic Surgery,"Combination 1440/1927-nm fractional laser with monopolar RF for facial skin laxity, texture, and pigmentation",Prospective single-arm study,"Combination-device procedure evidence",20 women with photoaging,"Reported improvement after RF plus four fractional laser treatments",industry-linked,https://pubmed.ncbi.nlm.nih.gov/39964075/
39250814,2025,Dermatologic Surgery,"755-nm Picosecond Laser With Diffractive Lens Array for Acne Scars in Fitzpatrick V and VI",Prospective clinical study,"Important darker-skin inclusion",Fitzpatrick V-VI; acne scars,"Reports scar improvement after up to five monthly treatments",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39250814/
39235304,2025,Dermatologic Surgery,"Efficacy and Safety of Low-Fluence 730-nm Picosecond Laser in Melasma",Retrospective cohort,"Pigment-procedure evidence in Chinese patients",25 Chinese patients; FST II-IV,"Mean MASI decreased 33.7% at short follow-up",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39235304/
40970768,2026,Dermatologic Surgery,"Comparative Efficacy of 35% Glycolic Acid Peel versus 4% Retinol Peel in Melasma",Randomized controlled trial,"Direct peel comparison",60 adults with melasma,"Both improved mMASI, dermoscopy, and quality of life without significant between-group difference",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40970768/
40728210,2026,Dermatologic Surgery,"Comparing Microneedle Radiofrequency and Fractional CO2 for Atrophic Acne Scarring",Randomized split-face trial,"Direct resurfacing comparison",Atrophic acne scars,"Compares efficacy and safety of RF microneedling versus fractional CO2",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40728210/
39625163,2025,Dermatologic Surgery,"Microfocused Ultrasound With Visualization: Adverse Events and Risk of Subsequent Facelift Compromise",Systematic review,"Safety-focused MFU-V synthesis",19 articles; 506 patients,"Most reported events were transient edema, erythema, and pain",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39625163/
39635989,2025,Dermatologic Surgery,"Novel topical delivery of macromolecules through the stratum corneum",Ex vivo/in vivo delivery study,"High-quality translational delivery evidence",Human skin models and in vivo biopsies,"Tiered-release vesicles improved penetration of large peptide/HA molecules",industry-linked/unclear,https://pubmed.ncbi.nlm.nih.gov/39635989/
39434507,2025,Lasers in Surgery and Medicine,"Expert Consensus on Fractional Ablative CO2 Laser for Facial Rejuvenation",Expert consensus,"Procedure safety and technique framework",21 dermatology/plastic-surgery experts,"Summarizes contraindications, prophylaxis, and treatment planning",none disclosed,https://pubmed.ncbi.nlm.nih.gov/39434507/
40518713,2025,Lasers in Surgery and Medicine,"Noninsulated Microneedle Radiofrequency for Skin Rejuvenation",Histological/transcriptomic/clinical study,"Connects tissue remodeling to clinical outcomes",Human treatment samples and clinical review,"Tracks collagen/MMP/TGF-beta biology and clinical satisfaction",mixed/unclear,https://pubmed.ncbi.nlm.nih.gov/40518713/
40495549,2025,Lasers in Surgery and Medicine,"Consensus Statement on Prevention and Management of Fully Ablative Laser Resurfacing Complications",Expert consensus,"High-value safety and aftercare framework",34 experts across four countries,"Consensus covers prevention and management of adverse events",none disclosed,https://pubmed.ncbi.nlm.nih.gov/40495549/
41485124,2026,Lasers in Surgery and Medicine,"1064-nm Fractional Picosecond Laser Versus IPL in Facial Rejuvenation",Prospective randomized trial,"Direct comparative photoaging/pigment evidence",38 Asian women,"Compares photoaging, pigment, texture, pores, skin tone, and TEWL",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41485124/
41423439,2026,Lasers in Surgery and Medicine,"Fractional 675-nm Nonablative Laser for Atrophic Acne Scars in Fitzpatrick III-IV",Prospective clinical trial,"Explicit darker-phototype scar safety study",16 adults; FST III-IV,"Three monthly sessions improved scar scores with reported tolerability",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41423439/
41987480,2026,Lasers in Surgery and Medicine,"1064-nm Picosecond Versus 1927-nm Fractional Thulium for Atrophic Acne Scars",Randomized split-face trial,"Direct comparison of two scar-remodeling approaches",35 Asian patients,"Compares ECCA, clinician assessment, TEWL, erythema, melanin, and adverse events",none disclosed,https://pubmed.ncbi.nlm.nih.gov/41987480/
41886698,2026,Dermatologic Surgery,"Red/blue versus blue LED for at-home inflammatory acne",Open-label randomized controlled trial,"New consumer LED comparison",23 completers with mild-to-moderate acne,"Red/blue device reduced total lesions; both reduced inflammatory lesions",industry-linked/unclear,https://pubmed.ncbi.nlm.nih.gov/41886698/
