pmid,year,category,short_title,design,population_or_scope,key_result,evidence_tier,conflict_flag,existing_archive_route
40935395,2025,peptide,Low-molecular-weight collagen peptide supplement,Randomized double-blind placebo-controlled trial,70 healthy adults; 8 weeks,Reported wrinkle hydration elasticity and dermal-density improvements, A,industry-linked,12_peptides_in_skincare
41311286,2025,peptide,Bioactive collagen peptides with washout,Randomized double-blind placebo-controlled trial,77 women; 12 weeks plus 4-week washout,Improved hydration TEWL dermal density and thickness, A,industry-linked,12_peptides_in_skincare
41215693,2025,supplement,Sakura and Rosa roxburghii supplement,Randomized placebo-controlled blinded trial,60 women; 8 weeks,Tested hydration pigment elasticity collagen texture and wrinkles, A,industry-linked,12_peptides_in_skincare
41924746,2026,peptide,Oral and topical peptides for skin aging,Systematic review/meta-analysis,RCTs of oral and topical peptides,Stronger pooled signal came mainly from oral studies; topical evidence sparse, A,none disclosed,12_peptides_in_skincare
42299447,2026,peptide,Neuropeptide serum after botulinum toxin,Double-blind vehicle-controlled split-face trial,Post-BTX facial lines and roughness,Tests procedure-adjunct serum, A,industry-linked,12_peptides_in_skincare
39781098,2025,device,RF microneedling monotherapy for acne scars,Systematic review,16 studies; 481 patients,Consistent scar improvement across heterogeneous protocols, A,industry-linked,10_microneedling_collagen_induction
40167796,2025,device,PBM application frequency for facial rejuvenation,Randomized sham-controlled double-blind trial,95 women aged 45-60,660 nm red mask; 8.05 J/cm2; two weekly sessions appeared sufficient, A,none disclosed,04_red_light_therapy_handheld
39540440,2025,device,MFU-V effectiveness and safety,Systematic review/meta-analysis,42 studies,89 percent investigator improvement and moderate pooled pain, A,mixed/unclear,11_hifu_skin_tightening
40167815,2025,device,HIFU/MFU treatment for sagging skin,Systematic review/meta-analysis,12 studies; 475 participants,Only two RCTs pooled; no significant neck difference versus RF, A,none disclosed,11_hifu_skin_tightening
41400370,2025,device,Laser versus chemical peeling,Systematic review/meta-analysis,Mixed rejuvenation indications,Comparable overall efficacy; laser signal for melasma and more short-term pain, A,none disclosed,03_fractional_laser_resurfacing
41364211,2025,device,Er:Glass versus CO2 for acne scars,Systematic review/meta-analysis,4 studies; 98 participants,Similar efficacy/satisfaction/PIH; Er:Glass less pain/crusting/erythema, A,none disclosed,03_fractional_laser_resurfacing
39829119,2025,periprocedural,Skincare in skin of color procedures,Delphi practice algorithm,Nonenergy/nonablative aesthetic procedures,Five-phase pre/peri/post procedure algorithm, B,mixed/unclear,13_combined_skincare_regimen
40575009,2025,periprocedural,Energy-device skincare recommendations,Expert recommendations,Energy procedures grouped by barrier disruption,Use barrier care and SPF; avoid irritating actives during healing, B,mixed/unclear,13_combined_skincare_regimen
40742058,2025,periprocedural,Cosmetic perioperative products for energy devices,Randomized placebo-controlled trial,Picosecond/IPL procedure patients,Tests soothing gel and serum around treatment, A,industry-linked,13_combined_skincare_regimen
41100358,2025,hair-removal,IPL versus triple-wavelength diode hirsutism,Randomized split-face trial,33 women FST III-V,Four sessions favored diode for hair reduction, A,none disclosed,01_ipl_hair_removal
41405728,2025,device,1064 nm Nd:YAG plus 755 nm Alexandrite photoaging,Randomized split-face multicenter trial,Photoaging participants,Tests combined laser/DLA protocol, A,mixed/unclear,06_non_fractional_lasers
41014039,2025,device,Monopolar RF laxity and oiliness,Prospective pilot,32 patients FST III-V,Reported improved laxity sebum elasticity and histology, B,mixed/unclear,07_radio_frequency_skin_tightening
41758257,2026,device,Novel monopolar RF versus Thermage,Multicenter randomized non-inferiority trial,230 enrolled; 212 analyzed,Similar 90-day GAIS proportions by study endpoint, A,mixed/unclear,07_radio_frequency_skin_tightening
41947517,2026,device,RF microneedling facial rejuvenation,Systematic review,20 studies; 558 participants synthesized,Consistent texture/tightening improvement and mostly transient adverse events, A,industry-linked,10_microneedling_collagen_induction
42047762,2026,device,RF microneedling across dermatologic conditions,Systematic review,41 studies including 15 RCTs,Acne-scar benefit consistent; broader indications heterogeneous, A,industry-linked,10_microneedling_collagen_induction
41821146,2026,device,Fractional CO2 versus MNRF post-acne scars,Meta-analysis of RCTs,Comparative RCTs,Compares efficacy and safety of two procedure classes, A,none disclosed,03_fractional_laser_resurfacing
41927510,2026,device,Fractional CO2 versus gold RF microneedling,Systematic review,Atrophic acne-scar studies,Comparative efficacy/safety synthesis, A,none disclosed,03_fractional_laser_resurfacing
42312398,2026,device,RF microneedling versus fractional CO2,Randomized evaluator-blinded split-face trial,30 completers; three sessions,Compares ECCA recovery and pigment safety, A,none disclosed,10_microneedling_collagen_induction
42168448,2026,device,rhEGF plus fractional CO2,Systematic review/meta-analysis,12 RCTs; 1044 patients,Lower ECCA/VSS and PIH versus CO2 alone; low-moderate certainty, A,none disclosed,03_fractional_laser_resurfacing
42055294,2026,device,Lasers for acne in diverse skin types,Systematic review,Diverse skin-type acne laser studies,Tracks efficacy/adverse events; representation remains limited, A,none disclosed,03_fractional_laser_resurfacing
42249955,2026,hair-removal,IPL versus diode hair removal,Randomized split-body trial,36 completers FST I-IV,Both effective; diode better longer-term objective outcomes and more pain, A,none disclosed,01_ipl_hair_removal
42358657,2026,device,Helium plasma RF aesthetic subdermal treatment,Systematic review/meta-analysis,34 studies; 3508 patients,Pooled satisfaction 92 percent; heterogeneous subdermal procedures, A,mixed/unclear,07_radio_frequency_skin_tightening
42187039,2026,device,Bimodal RF lower-face tightening,Open-label prospective clinical trial,Southeast Asian patients,Evaluates sequential monopolar/bipolar RF, B,industry-linked,07_radio_frequency_skin_tightening
42087526,2026,periprocedural,Integrated skincare active-ingredient consensus,International Delphi consensus,44 actives across procedure categories and time points,Ceramides/cholesterol/HA/niacinamide/peptides broadly accepted; retinoids/acids unsuitable on treatment day, B,mixed/unclear,13_combined_skincare_regimen
41329150,2025,acne-barrier,Gel-matrix moisturizer in acne,Clinical study,Acne vulgaris patients,Reported barrier/skin improvements without exacerbating acne, B,industry-linked,13_combined_skincare_regimen
40106027,2025,hair-removal,Home IPL versus medical IPL,Randomized within-person comparison,84 enrolled; 78 completed,Comparable efficacy/safety after three months, A,industry-linked,01_ipl_hair_removal
40042878,2025,acne-device,At-home LED devices for acne,Systematic review/meta-analysis,6 studies of home LED devices,Possible lesion-reduction benefit with heterogeneous small evidence base, A,none disclosed,04_red_light_therapy_handheld
42307924,2026,antiaging,Core outcome domain set for facial aging,Consensus/measurement study,Facial-aging intervention trials,Creates standardized domains for future efficacy and safety comparisons, B,none disclosed,13_combined_skincare_regimen
41123900,2025,periprocedural,Hydrocolloid dressing versus petroleum after surgery,Investigator-blinded randomized clinical trial,Adults after excision or Mohs surgery,Directly compares one-week hydrocolloid with daily petroleum for scar appearance and complications, A,none disclosed,13_combined_skincare_regimen
41052654,2026,acne-device,1726-nm sebum-selective laser for acne,Prospective multicenter clinical study,Fitzpatrick II-VI; moderate-to-severe acne,Three treatments produced durable lesion improvement through one year, B,none disclosed,03_fractional_laser_resurfacing
40253006,2025,device,Photobiomodulation clinical application consensus,Systematic review/Delphi consensus,21-member multidisciplinary panel,Frames safer evidence-based PBM indications and parameter-specific interpretation, B,none disclosed,04_red_light_therapy_handheld
38772426,2025,sunscreen,Sunscreens part 1 mechanisms and efficacy,Clinical review,Photoprotection across skin types,Reviews UV protection for sunburn cancer photoaging and pigment, B,none disclosed,13_combined_skincare_regimen
38777185,2025,sunscreen,Sunscreens part 2 regulation and safety,Clinical review,Sunscreen users and environmental safety,Separates systemic absorption regulation vitamin D contamination and environmental questions, B,none disclosed,13_combined_skincare_regimen
40865731,2025,sunscreen,Tinted sunscreen physicochemical properties,Clinical review,Tinted sunscreen formulations,Adds formulation and practical context to visible-light protection claims, B,none disclosed,13_combined_skincare_regimen
40550334,2025,acne-device,Light and laser therapy for acne,Clinical review,Acne across skin types,Reviews visible light PDT IPL PDL infrared and 1726-nm laser options, B,none disclosed,03_fractional_laser_resurfacing
39216821,2025,barrier,Age-related skin barrier dysfunction,Clinical review,Aging skin,Explains structural molecular and physiologic changes that increase reactivity, B,none disclosed,09_zinc_oxide_barrier_cream
41110715,2026,sunscreen,Ingredients for oral photoprotection,Evidence review,Oral photoprotection ingredients,Classifies oral adjunct evidence without replacing topical sunscreen, B,none disclosed,13_combined_skincare_regimen
40408261,2025,barrier,Physiological lipids and ceramide barrier repair,Double-blind intraparticipant study,Adults predisposed to atopic dermatitis,Physiological-lipid emulsion improved ceramide and barrier measures versus standard emulsion, A,none disclosed,09_zinc_oxide_barrier_cream
41118317,2025,microbiome,Mild cleansers and microbiome networks,Human microbiome intervention,Human forearm and leg skin,Mild cleansing may strengthen microbiome network structure without simply changing taxa, B,industry-linked/unclear,13_combined_skincare_regimen
41118315,2025,acne-microbiome,Acne microbiome signatures and monoterpene facewash,Clinical microbiome intervention,Mild-to-moderate acne and controls,Four-week marketed cleanser intervention measured acne microbiome signatures, B,industry-linked,13_combined_skincare_regimen
39946293,2025,sunscreen,Nonfiltering ingredients for topical photoprotection,Evidence review,Topical photoprotection,Classifies antioxidant and anti-inflammatory adjunct claims, B,none disclosed,13_combined_skincare_regimen
39269130,2025,acne-microbiome,Acne and cutaneous microbiome,Systematic review,26 included microbiome studies,Maps treatment interactions and the limits of microbiome-based acne claims, A,none disclosed,13_combined_skincare_regimen
38877766,2025,acne-barrier,Dermocosmetics in acne,International consensus statement,International acne dermatology panel,Supports skincare alongside acne medication for tolerability and adjunctive care, B,none disclosed,13_combined_skincare_regimen
40996222,2026,pigment,International melasma management consensus,Delphi consensus,38 experts from 11 countries,Current framework for diagnosis treatment prevention and recurrence management, B,none disclosed,08_vitamin_c_serums
39404126,2025,hair-device,Low-level laser and LED for alopecia,Systematic review/meta-analysis,38 studies; 3098 patients,Meta-analyzes hair-density outcomes dominated by androgenetic alopecia, A,none disclosed,04_red_light_therapy_handheld
40116370,2025,device,Microcoring for skin rejuvenation,Systematic review,8 studies; 112 clinical patients,Early remodeling signal with a small heterogeneous clinical corpus, A,mixed/unclear,07_radio_frequency_skin_tightening
39964075,2025,device,Monopolar RF plus 1440/1927-nm fractional laser,Prospective single-arm clinical study,20 women with photoaging,Combination treatment improved laxity texture and pigmentation at six months, B,industry-linked,07_radio_frequency_skin_tightening
39250814,2025,device,755-nm picosecond laser for acne scars in FST V-VI,Prospective clinical study,24 enrolled; 17 completed; Fitzpatrick V-VI,Adds darker-skin acne-scar safety and efficacy data, B,none disclosed,06_non_fractional_lasers
39235304,2025,pigment,730-nm picosecond laser for melasma,Retrospective clinical cohort,25 Chinese patients; Fitzpatrick II-IV,Mean MASI decreased 33.7 percent at short follow-up, B,none disclosed,06_non_fractional_lasers
40970768,2026,pigment,35 percent glycolic versus 4 percent retinol peel,Randomized controlled trial,60 adults with melasma,Both improved clinical dermoscopic and quality-of-life outcomes without significant between-group difference, A,none disclosed,08_vitamin_c_serums
40728210,2026,device,RF microneedling versus fractional CO2 for acne scars,Randomized split-face controlled trial,Atrophic acne scars,Directly compares efficacy and safety of two resurfacing approaches, A,none disclosed,10_microneedling_collagen_induction
39625163,2025,device,MFU-V adverse events and facelift compromise,Systematic review,19 articles; 506 patients,Most reported events were transient edema erythema and pain, A,none disclosed,11_hifu_skin_tightening
39635989,2025,emerging-delivery,Tiered-release vesicles for topical macromolecules,Ex vivo/in vivo delivery study,Human skin models and in vivo biopsies,Improved penetration of large peptide and hyaluronic-acid molecules, C,industry-linked/unclear,12_peptides_in_skincare
39434507,2025,device,Fractional ablative CO2 facial rejuvenation consensus,Expert consensus,21 dermatology and plastic-surgery experts,Consolidates contraindications prophylaxis and treatment planning, B,none disclosed,03_fractional_laser_resurfacing
40518713,2025,device,Noninsulated RF microneedling remodeling study,Histological/transcriptomic/clinical study,Human treatment samples and clinical review,Connects collagen/MMP/TGF-beta biology with clinical satisfaction, B,mixed/unclear,10_microneedling_collagen_induction
40495549,2025,periprocedural,Fully ablative laser resurfacing complication consensus,Expert consensus,34 experts across four countries,Consensus prevention and management framework for adverse events, B,none disclosed,03_fractional_laser_resurfacing
41485124,2026,device,1064-nm fractional picosecond laser versus IPL,Prospective randomized comparative trial,38 Asian women,Compares photoaging pigment texture pores skin tone and TEWL, A,none disclosed,06_non_fractional_lasers
41423439,2026,device,675-nm nonablative laser for acne scars,Prospective clinical trial,16 adults; Fitzpatrick III-IV,Three monthly sessions improved scar scores with explicit pigment-safety framing, B,none disclosed,03_fractional_laser_resurfacing
41987480,2026,device,1064-nm picosecond versus 1927-nm thulium laser,Randomized split-face trial,35 Asian patients with atrophic acne scars,Compares scar scores TEWL erythema melanin and adverse events, A,none disclosed,03_fractional_laser_resurfacing
41886698,2026,acne-device,Red/blue versus blue home LED,Open-label randomized controlled trial,23 completers with mild-to-moderate acne,Red/blue device reduced total lesions while both devices reduced inflammatory lesions, A,industry-linked/unclear,04_red_light_therapy_handheld
