rule_id,left,right,classification,minimum_spacing,reason,evidence_basis,source_refs,scope
R031,L-ascorbic acid,hydroquinone,compatible,exact formula check,"Clinical pigment studies used a hydroquinone plus ascorbic acid comparator formula",comparative_pigment_studies,"30;31","Designed formula; not unsupervised hydroquinone mixing"
R032,L-ascorbic acid,topical tranexamic acid,compatible,exact formula check,"Topical TXA/ascorbic-acid and related pigment formulas have been studied",topical_pigment_formula_studies,"24;25;56","Verify concentration, vehicle, and sting"
R033,L-ascorbic acid,non-copper peptide,compatible,exact formula check,"Peptide-C products contain topical vitamin C and biopeptides with clinical tolerability evidence",finished_product_clinical_studies,"37;38","Co-formulation evidence, not arbitrary maximum-strength layering"
R034,vitamin C derivative,OTC retinoid,compatible,exact formula check,"Human studies evaluated vitamin C derivatives with retinol or related cosmetic retinoids",cosmetic_combination_studies,"39;40;41","Do not generalize to prescription retinoids or unrelated vehicles"
R035,vitamin C derivative,prescription retinoid or high-load active,caution,different session,"Derivative formula evidence exists, but prescription labels, pH, oxidants, and active load control separate-product use",formula_and_label_inference,"15;24;48;49;51;52","Start apart; not a universal cancellation rule"
R036,retinoid,urea dapsone HOCl TXA other pigment or peptide,caution,different session,"Labels and adjacent clinical formulas support careful coexistence, not a universal same-session stack",label_and_regimen_tolerance,"5;33;34;35;48","Explicit dapsone/adapalene and OTC-retinoid/peptide exceptions remain higher confidence"
R037,AHA BHA or PHA,urea azelaic dapsone sulfur HOCl hydroquinone TXA cysteamine or other pigment,caution,different session,"Peel, maintenance, label, and acne evidence support spacing to control keratolysis, sting, and attribution",clinical_protocol_and_label,"42;43;44;45;49;54","Separate finished products initially"
R038,AHA BHA or PHA,non-copper peptide,compatible,exact formula check,"Finished multi-active and PHA/peptide/niacinamide formulas have been studied",finished_formula_studies,"35;55","Designed formula only; separate leave-ons may still irritate"
R039,benzoyl peroxide,HOCl,separate,different session,"Two oxidant product lanes have formulation and pH uncertainty without direct sequential-use trials",oxidant_formulation_reviews,"10;50;51;52","Follow both labels; do not premix"
R040,HOCl,L-ascorbic acid or cysteamine,separate,different session,"HOCl reviews describe reactivity with electron-donating and thiol groups",mechanistic_review_and_conservative_inference,"15;29;50;51","No human sequential-layering clearance"
R041,topical tranexamic acid,other pigment serum,compatible,exact formula check,"Human pigment formulas paired TXA with niacinamide, alpha-arbutin, licorice, or azelaic derivatives",randomized_pigment_formulas,"21;22;23;25;26","Other pigment is broad; verify full INCI"
R042,topical tranexamic acid,cysteamine or non-copper peptide,caution,different session,"Separate pigment protocols and sparse direct pair evidence make spacing the conservative start",pigment_protocol_and_evidence_gap,"21;29;30;54","Not a claim of chemical incompatibility"
R043,other pigment serum,non-copper peptide,caution,different session,"Some multi-active formulas contain peptides, but the broad pigment family is formulation-dependent",formula_specific_inference,"15;32;35","Full INCI and delivery system control"
R044,copper peptide,"niacinamide; vitamin C derivative; OTC retinoid; urea; azelaic acid; topical TXA; other pigment serum; non-copper peptide",compatible,exact formula check,"Current finished formulas and one low-strength clinical/procedure report document copper-peptide coexistence in designed vehicles",exact_formula_and_limited_clinical_evidence,"58;59;61;62;63;64","Verify the exact INCI, concentration, route, and vehicle; this is not permission to mix independent products"
R045,copper peptide,"L-ascorbic acid; adapalene; conventional or stabilized tretinoin; tazarotene; AHA/BHA/PHA/enzyme; dapsone; sulfur; hydroquinone; triple combination; cysteamine",caution,different session,"Low-pH, prescription, exfoliant, and high-load treatment lanes have formulation or irritation boundaries without direct copper-peptide layering trials",formulation_and_tolerance_inference,"5;6;10;14;15;16;29;30;31;48;49;57;65","Start apart and verify the exact finished products; not a chemical-avoidance claim"
R046,copper peptide,"benzoyl peroxide; HOCl",separate,different session,"GHK-Cu oxidative-stress sensitivity plus oxidant/formulation-sensitive partners justify conservative formula-preservation spacing",oxidant_formulation_and_preformulation_evidence,"16;50;51;52;57","No human skin-layering reaction was established; do not premix"
R047,Residual non-copper unknowns,"niacinamide + HOCl; LAA + urea or BPO; vitamin C derivative + urea; urea + peptide; HOCl + TXA or peptide",unknown,none,"Exact pair search found no defensible direct human sequential-use or validated finished-product study",direct_pair_evidence_gap,"15;44;47;50;51;52","Keep gray unknown; do not treat missing evidence as reassurance"
