pair_id,left_id,left_name,right_id,right_name,same_session_category,minimum_spacing,rule_title,source_ids,proof_links,evidence_scope
P011,niacinamide,Niacinamide,enzyme,Enzyme exfoliant / scrub,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P012,niacinamide,Niacinamide,urea,Urea 10–20% for rough body skin,compatible,none,Low-load barrier-support coexistence,s47; s54,https://pubmed.ncbi.nlm.nih.gov/34619676/; https://pubmed.ncbi.nlm.nih.gov/32356369/,Urea has randomized barrier/hydration evidence and niacinamide is a low-load support ingredient. No direct inactivation or same-session warning was located for finished products; inspect the vehicle and reduce steps if the formula stings.
P013,niacinamide,Niacinamide,bpo,Benzoyl peroxide,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P014,niacinamide,Niacinamide,azelaic,Azelaic acid,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P015,niacinamide,Niacinamide,dapsone,Topical dapsone,caution,different-session,Prescription acne plus support lane,s5; s54,source_docs/DailyMed_dapsone_gel_label_2026-08-23.pdf; https://pubmed.ncbi.nlm.nih.gov/32356369/,"No direct cancellation was found, but dapsone is prescription acne treatment and adding another active makes irritation and attribution harder. Use the prescribing directions and separate initially if the site is reactive."
P016,niacinamide,Niacinamide,sulfur,Sulfur / sulfacetamide-sulfur,caution,different-session,Sulfur label irritation gate,s49,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3,The current sulfur label warns that another topical acne medication used at the same time can increase irritation and dryness. Niacinamide is not named as incompatible; the spacing is a tolerance default.
P017,niacinamide,Niacinamide,hocl,Finished hypochlorous-acid spray,unknown,different-session,HOCl/niacinamide evidence gap,s50; s51,https://pmc.ncbi.nlm.nih.gov/articles/PMC6303114/; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/,"HOCl stability and reactivity depend on pH, storage, and the finished formula. No direct human sequential-use trial with niacinamide was located; the selected spacing avoids direct contact without turning the gap into compatibility evidence."
P018,niacinamide,Niacinamide,hydroquinone,Hydroquinone course,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P019,niacinamide,Niacinamide,triple_combo,Prescription triple-combination cream,caution,different-session,Pigment-course load,s6; s29; s30,source_docs/DailyMed_TriLuma_label_2026-08-23.pdf; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/,"Prescription triple-combination and cysteamine courses have their own duration, contact-time, and irritation boundaries. Niacinamide can be a support step, but start it outside the treatment session when the course is active."
P020,niacinamide,Niacinamide,txa,Topical tranexamic acid,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P021,niacinamide,Niacinamide,cysteamine,Topical cysteamine,caution,different-session,Pigment-course load,s6; s29; s30,source_docs/DailyMed_TriLuma_label_2026-08-23.pdf; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/,"Prescription triple-combination and cysteamine courses have their own duration, contact-time, and irritation boundaries. Niacinamide can be a support step, but start it outside the treatment session when the course is active."
P022,niacinamide,Niacinamide,other_pigment,Other pigment serum,compatible,none,No established inactivation,,,This review found no documented direct-contact inactivation rule for niacinamide with this active. That is not proof every vehicle and concentration pair was clinically tested; treat irritation and the exact finished formula separately from internet pH myths.
P023,niacinamide,Niacinamide,peptide,Non-copper peptide serum,compatible,none,Supported support-serum coexistence,s34; s36,https://pubmed.ncbi.nlm.nih.gov/20374604/; https://pubmed.ncbi.nlm.nih.gov/39768384/,Human studies evaluated niacinamide/peptide cosmetic regimens and niacinamide-plus-peptide serums. Formula tolerance and the prescription/medical active still control use.
P024,niacinamide,Niacinamide,copper_peptide,Copper peptide serum,compatible,exact formula check,Co-formulated with niacinamide,s61; s62,https://www.cosrx.com/collections/all/products/brightening-boost; https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=9b597c62-4b78-1656-e053-2a95a90afaf6&type=pdf,"Official finished formulas place copper tripeptide-1 and niacinamide in the same preserved vehicle. That demonstrates formulation coexistence, not a clinical clearance for every serum strength or vehicle."
P025,laa,L-ascorbic acid (low-pH vitamin C),vitc_derivative,Vitamin C derivative,caution,different-session,Redundant vitamin-C lane,s15; s37,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/33038010/,"Two vitamin-C strategies may be unnecessary and can increase sting, oxidation, or pilling without establishing extra benefit. Keep the forms separate while identifying the formula; this is a simplification rule, not proof of chemical incompatibility."
P026,laa,L-ascorbic acid (low-pH vitamin C),adapalene,Adapalene,caution,different-session,Not a cancellation; often a tolerability split,s15; s20,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/12633200/,"There is no good evidence for universal chemical cancellation on skin, and a small clinical study used tretinoin plus topical ascorbic acid in one regimen. AM vitamin C and PM prescription retinoid remains a practical way to reduce crowding and identify irritation."
P027,laa,L-ascorbic acid (low-pH vitamin C),tretinoin_conventional,Tretinoin · conventional cream/gel,caution,different-session,Not a cancellation; often a tolerability split,s15; s20,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/12633200/,"There is no good evidence for universal chemical cancellation on skin, and a small clinical study used tretinoin plus topical ascorbic acid in one regimen. AM vitamin C and PM prescription retinoid remains a practical way to reduce crowding and identify irritation."
P028,laa,L-ascorbic acid (low-pH vitamin C),tretinoin_stabilized,Tretinoin · microsphere/optimized/fixed,caution,different-session,Not a cancellation; often a tolerability split,s15; s20,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/12633200/,"There is no good evidence for universal chemical cancellation on skin, and a small clinical study used tretinoin plus topical ascorbic acid in one regimen. AM vitamin C and PM prescription retinoid remains a practical way to reduce crowding and identify irritation."
P029,laa,L-ascorbic acid (low-pH vitamin C),tazarotene,Tazarotene,caution,different-session,Not a cancellation; often a tolerability split,s15; s20,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/12633200/,"There is no good evidence for universal chemical cancellation on skin, and a small clinical study used tretinoin plus topical ascorbic acid in one regimen. AM vitamin C and PM prescription retinoid remains a practical way to reduce crowding and identify irritation."
P030,laa,L-ascorbic acid (low-pH vitamin C),otc_retinoid,Retinol / retinal / cosmetic retinoid,compatible,none,Formulated combinations exist,s7,https://pubmed.ncbi.nlm.nih.gov/15767769/,"Human studies have used retinol and vitamin C together. That refutes a universal cancellation rule, but does not prove every pair of separate high-strength products is equally tolerable."
P031,laa,L-ascorbic acid (low-pH vitamin C),aha,AHA · glycolic / lactic acid,caution,different-session,Low-pH and sting load—not proven cancellation,s15,https://pubmed.ncbi.nlm.nih.gov/29104718/,"These can coexist in a broader regimen, but independent acidic leave-ons may add sting and make intolerance difficult to attribute. Separate sessions when starting; no pH-reset waiting time is established."
P032,laa,L-ascorbic acid (low-pH vitamin C),bha,BHA · salicylic acid leave-on,caution,different-session,Low-pH and sting load—not proven cancellation,s15,https://pubmed.ncbi.nlm.nih.gov/29104718/,"These can coexist in a broader regimen, but independent acidic leave-ons may add sting and make intolerance difficult to attribute. Separate sessions when starting; no pH-reset waiting time is established."
P033,laa,L-ascorbic acid (low-pH vitamin C),pha,PHA leave-on,caution,different-session,Low-pH and sting load—not proven cancellation,s15,https://pubmed.ncbi.nlm.nih.gov/29104718/,"These can coexist in a broader regimen, but independent acidic leave-ons may add sting and make intolerance difficult to attribute. Separate sessions when starting; no pH-reset waiting time is established."
P034,laa,L-ascorbic acid (low-pH vitamin C),enzyme,Enzyme exfoliant / scrub,caution,different-session,Acidic active-load caution,s15; s29; s30; s49,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3,"The vitamin C literature emphasizes formulation, pH, and irritation differences. These active or pigment lanes can be reasonable elsewhere in a plan, but separate sessions make tolerance and causality clearer."
P035,laa,L-ascorbic acid (low-pH vitamin C),urea,Urea 10–20% for rough body skin,unknown,different-session,LAA/urea evidence gap,s15; s44; s47,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/36943434/; https://pubmed.ncbi.nlm.nih.gov/34619676/,"Urea has barrier and keratolytic evidence, while LAA has pH and irritation/formulation boundaries. No direct human pair study was located for independent products; separate sessions are a practical uncertainty control."
P036,laa,L-ascorbic acid (low-pH vitamin C),bpo,Benzoyl peroxide,unknown,different-session,Oxidation question is formulation-specific,s15; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"Benzoyl peroxide is an oxidant, but direct human evidence for sequential use with independent L-ascorbic-acid serums is insufficient. A formulation study tested BPO with vitamin C among other antioxidants, but that does not validate arbitrary skin layering. Do not premix; different sessions sidestep direct contact without proving synergy or incompatibility."
P037,laa,L-ascorbic acid (low-pH vitamin C),azelaic,Azelaic acid,caution,different-session,Low-pH and sting load—not proven cancellation,s15,https://pubmed.ncbi.nlm.nih.gov/29104718/,"These can coexist in a broader regimen, but independent acidic leave-ons may add sting and make intolerance difficult to attribute. Separate sessions when starting; no pH-reset waiting time is established."
P038,laa,L-ascorbic acid (low-pH vitamin C),dapsone,Topical dapsone,caution,different-session,Acidic active-load caution,s15; s29; s30; s49,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3,"The vitamin C literature emphasizes formulation, pH, and irritation differences. These active or pigment lanes can be reasonable elsewhere in a plan, but separate sessions make tolerance and causality clearer."
P039,laa,L-ascorbic acid (low-pH vitamin C),sulfur,Sulfur / sulfacetamide-sulfur,caution,different-session,Acidic active-load caution,s15; s29; s30; s49,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3,"The vitamin C literature emphasizes formulation, pH, and irritation differences. These active or pigment lanes can be reasonable elsewhere in a plan, but separate sessions make tolerance and causality clearer."
P040,laa,L-ascorbic acid (low-pH vitamin C),hocl,Finished hypochlorous-acid spray,separate,different-session,Oxidant and antioxidant separation,s15; s50; s51,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6303114/; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/,"HOCl is highly reactive with electron-donating and thiol-containing groups in the formulation literature, while LAA is an antioxidant. Direct clinical layering evidence is absent, so separate finished products rather than infer a universal reaction or benefit."
P041,laa,L-ascorbic acid (low-pH vitamin C),hydroquinone,Hydroquinone course,compatible,exact formula check,Designed pigment formulas can pair hydroquinone and ascorbic acid,s30; s31,https://pubmed.ncbi.nlm.nih.gov/35510765/; https://pubmed.ncbi.nlm.nih.gov/38638185/,"Clinical pigment trials used hydroquinone plus ascorbic acid as a comparator formula. That supports a finished-product formulation lane, not arbitrary mixing or an unsupervised hydroquinone course."
P042,laa,L-ascorbic acid (low-pH vitamin C),triple_combo,Prescription triple-combination cream,caution,different-session,Additive irritation load,,,"No direct cancellation rule was found, but placing two higher-load treatments together can make redness, dryness, or PIH more likely and harder to attribute."
P043,laa,L-ascorbic acid (low-pH vitamin C),txa,Topical tranexamic acid,compatible,exact formula check,Designed tranexamic-acid and vitamin-C formulas exist,s24; s25; s56,https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/37102219/; https://pubmed.ncbi.nlm.nih.gov/37560507/,A pilot study and multimodal pigment studies evaluated topical tranexamic acid with ascorbic acid or related pigment-support systems. Verify the exact formula and separate for sting; this is not a universal maximum-strength layering recommendation.
P044,laa,L-ascorbic acid (low-pH vitamin C),cysteamine,Topical cysteamine,caution,different-session,Acidic active-load caution,s15; s29; s30; s49,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3,"The vitamin C literature emphasizes formulation, pH, and irritation differences. These active or pigment lanes can be reasonable elsewhere in a plan, but separate sessions make tolerance and causality clearer."
P045,laa,L-ascorbic acid (low-pH vitamin C),other_pigment,Other pigment serum,caution,different-session,Acidic active-load caution,s15; s29; s30; s49,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/32585079/; https://pubmed.ncbi.nlm.nih.gov/35510765/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3,"The vitamin C literature emphasizes formulation, pH, and irritation differences. These active or pigment lanes can be reasonable elsewhere in a plan, but separate sessions make tolerance and causality clearer."
P046,laa,L-ascorbic acid (low-pH vitamin C),peptide,Non-copper peptide serum,compatible,exact formula check,Vitamin C and peptide co-formulations exist,s37; s38,https://pubmed.ncbi.nlm.nih.gov/33038010/; https://pubmed.ncbi.nlm.nih.gov/35064615/,"Peptide-C ampoules containing topical vitamin C and biopeptides have clinical safety and tolerability evidence. The result applies to a designed formula, not every separate LAA serum plus peptide serum."
P047,laa,L-ascorbic acid (low-pH vitamin C),copper_peptide,Copper peptide serum,caution,different-session,Low-pH LAA and copper-peptide formulation caution,s15; s16; s57,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/25384620/; https://pmc.ncbi.nlm.nih.gov/articles/PMC11830136/,"GHK-Cu preformulation work found hydrolytic/oxidative stress sensitivity, while LAA products depend strongly on low pH, oxygen exposure, and vehicle. No direct human pair trial was located; use different sessions while checking the exact formulas."
P048,vitc_derivative,Vitamin C derivative,adapalene,Adapalene,caution,different-session,Derivative vitamin C plus prescription retinoid,s15; s24; s48,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e4e4b81-420e-4492-8a74-80b692a80057,"A derivative can appear in a designed multi-active serum, but prescription retinoid labels and the topical vitamin C literature still make irritation, vehicle, and exact formulation the controlling variables. Separate initially."
P049,vitc_derivative,Vitamin C derivative,tretinoin_conventional,Tretinoin · conventional cream/gel,caution,different-session,Derivative vitamin C plus prescription retinoid,s15; s24; s48,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e4e4b81-420e-4492-8a74-80b692a80057,"A derivative can appear in a designed multi-active serum, but prescription retinoid labels and the topical vitamin C literature still make irritation, vehicle, and exact formulation the controlling variables. Separate initially."
P050,vitc_derivative,Vitamin C derivative,tretinoin_stabilized,Tretinoin · microsphere/optimized/fixed,caution,different-session,Derivative vitamin C plus prescription retinoid,s15; s24; s48,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e4e4b81-420e-4492-8a74-80b692a80057,"A derivative can appear in a designed multi-active serum, but prescription retinoid labels and the topical vitamin C literature still make irritation, vehicle, and exact formulation the controlling variables. Separate initially."
P051,vitc_derivative,Vitamin C derivative,tazarotene,Tazarotene,caution,different-session,Derivative vitamin C plus prescription retinoid,s15; s24; s48,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e4e4b81-420e-4492-8a74-80b692a80057,"A derivative can appear in a designed multi-active serum, but prescription retinoid labels and the topical vitamin C literature still make irritation, vehicle, and exact formulation the controlling variables. Separate initially."
P052,vitc_derivative,Vitamin C derivative,otc_retinoid,Retinol / retinal / cosmetic retinoid,compatible,exact formula check,Vitamin-C-derivative and cosmetic-retinoid formulas exist,s39; s40; s41,https://pubmed.ncbi.nlm.nih.gov/19134126/; https://pubmed.ncbi.nlm.nih.gov/27050703/; https://pubmed.ncbi.nlm.nih.gov/40029737/,Randomized acne and cosmetic studies evaluated vitamin C derivatives with retinol or related cosmetic retinoids. Do not generalize a finished formula to two independent maximum-strength products.
P053,vitc_derivative,Vitamin C derivative,aha,AHA · glycolic / lactic acid,caution,different-session,Hydroxy-acid and derivative formula check,s15; s24,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/,"A serum containing stabilized vitamin C and hydroxy acids has been studied, but free-acid percentage, pH, and vehicle determine whether separate products sting. Treat this as a formula/tolerance caution."
P054,vitc_derivative,Vitamin C derivative,bha,BHA · salicylic acid leave-on,caution,different-session,Hydroxy-acid and derivative formula check,s15; s24,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/,"A serum containing stabilized vitamin C and hydroxy acids has been studied, but free-acid percentage, pH, and vehicle determine whether separate products sting. Treat this as a formula/tolerance caution."
P055,vitc_derivative,Vitamin C derivative,pha,PHA leave-on,caution,different-session,Hydroxy-acid and derivative formula check,s15; s24,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/,"A serum containing stabilized vitamin C and hydroxy acids has been studied, but free-acid percentage, pH, and vehicle determine whether separate products sting. Treat this as a formula/tolerance caution."
P056,vitc_derivative,Vitamin C derivative,enzyme,Enzyme exfoliant / scrub,caution,different-session,Hydroxy-acid and derivative formula check,s15; s24,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/,"A serum containing stabilized vitamin C and hydroxy acids has been studied, but free-acid percentage, pH, and vehicle determine whether separate products sting. Treat this as a formula/tolerance caution."
P057,vitc_derivative,Vitamin C derivative,urea,Urea 10–20% for rough body skin,unknown,different-session,Vitamin-C-derivative/urea evidence gap,s24; s47,https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/34619676/,"No direct human sequential-use or validated finished-product pair study was located for this broad derivative and urea family. Exact concentration, pH, and body site still matter."
P058,vitc_derivative,Vitamin C derivative,bpo,Benzoyl peroxide,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P059,vitc_derivative,Vitamin C derivative,azelaic,Azelaic acid,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P060,vitc_derivative,Vitamin C derivative,dapsone,Topical dapsone,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P061,vitc_derivative,Vitamin C derivative,sulfur,Sulfur / sulfacetamide-sulfur,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P062,vitc_derivative,Vitamin C derivative,hocl,Finished hypochlorous-acid spray,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P063,vitc_derivative,Vitamin C derivative,hydroquinone,Hydroquinone course,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P064,vitc_derivative,Vitamin C derivative,triple_combo,Prescription triple-combination cream,caution,different-session,Antioxidant plus active-load caution,s15; s24; s32; s49; s51; s52,https://pubmed.ncbi.nlm.nih.gov/29104718/; https://pubmed.ncbi.nlm.nih.gov/40062688/; https://pubmed.ncbi.nlm.nih.gov/39555866/; https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fdcaaa56-a27d-5bd9-e053-6294a90a1160&version=3; https://pmc.ncbi.nlm.nih.gov/articles/PMC12730738/; https://pubmed.ncbi.nlm.nih.gov/18161634/,"A vitamin C derivative may coexist in a designed pigment/acne formula, but the exact derivative, oxidant environment, vehicle, and active load matter. Separate independent products while establishing tolerance."
P065,vitc_derivative,Vitamin C derivative,txa,Topical tranexamic acid,compatible,exact formula check,Serum B3 co-formulation evidence,s24,https://pubmed.ncbi.nlm.nih.gov/40062688/,"A randomized study evaluated niacinamide, tranexamic acid, stabilized vitamin C, and hydroxy acids in one serum. This is direct co-formulation evidence, not a promise for unrelated products."
